EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
22479,41,33,Yes,$69.46 ,40,Salary,"($465,057.06)",377,HumanResources,Male,Single,4,16,Direct_Deposit,Yes
25886,52,42,Yes,$33.71 ,40,Salary,"($472,197.93)",-408,Human_Resources,Male,Divorced,N/A,8,Direct_Deposit,Yes
17364,50,31,Yes,$63.35 ,40,Salary,"$218,538.54 ",-60,Healthcare,Male,Divorced,3,20,Mailed Check,Yes
20885,25,32,Yes,$61.54 ,40,Salary,"($2,343.13)",160,Information Technology,Male,Single,8,23,Mail Check,No
23149,46,47,No,$80.07 ,40,Salary,"$400,402.51 ",-99,Marketing,Female,Single,1,19,DirectDeposit,N/A
25158,39,35,No,$83.69 ,40,Salary,"$227,812.25 ",-489,Marketing,Male,Divorced,7,22,Mail Check,No
28882,30,41,Yes,$63.37 ,40,Salary,"($484,262.11)",340,HumanResources,Prefer Not to Answer,Divorced,9,13,Mail Check,N/A
18703,46,3,Yes,$54.71 ,40,Salary,"($49,690.57)",-68,Sales,Female,Married,9,6,Direct Deposit,Yes
25549,56,11,Yes,$43.68 ,40,Salary,"($322,936.99)",348,Sales,Prefer Not to Answer,Divorced,9,3,Direct Deposit,Yes
13008,28,21,Yes,$47.20 ,40,Salary,"($221,251.64)",-207,HumanResources,Female,Married,5,8,MailedCheck,No
18915,31,35,No,$43.98 ,40,Salary,"$258,510.13 ",-486,Research,Male,Married,3,24,Direct Deposit,N/A
29047,65,9,No,$87.38 ,40,Salary,"($438,461.99)",444,Research,Male,Single,7,7,DirectDeposit,No
15552,30,32,Yes,$54.27 ,40,Salary,"($348,436.84)",12,Laboratory,Female,Single,4,19,Direct_Deposit,Yes
25496,43,28,No,$97.82 ,40,Salary,"$260,991.71 ",479,InformationTechnology,Prefer Not to Answer,Married,7,13,Direct Deposit,Yes
12915,39,7,No,$75.38 ,40,Salary,"($114,193.61)",272,Information Technology,Female,Divorced,4,3,Mail Check,No
24843,52,27,No,$48.39 ,40,Salary,"$138,753.99 ",-366,Information_Technology,Female,Divorced,1,14,DirectDeposit,Yes
25543,18,37,Yes,$70.38 ,40,Salary,"($298,464.46)",120,InformationTechnology,Male,Single,6,18,MailedCheck,No
26201,34,28,No,$77.91 ,40,Salary,"($93,157.96)",-181,Manufacturing,Female,Married,1,14,Direct_Deposit,N/A
23473,22,6,No,$74.74 ,40,Salary,"($346,880.28)",-493,Healthcare,Male,Divorced,3,16,DirectDeposit,No
25539,20,3,Yes,$83.12 ,40,Salary,"($457,109.19)",221,Human_Resources,Prefer Not to Answer,Single,5,N/A,Mail Check,Yes
26531,35,35,No,$67.58 ,40,Salary,"$123,665.76 ",-186,Human_Resources,Prefer Not to Answer,Single,3,3,MailedCheck,Yes
10570,32,2,No,$49.51 ,40,Salary,"($42,726.43)",-454,Sales,Prefer Not to Answer,Single,7,19,Direct_Deposit,No
17392,24,39,Yes,$90.41 ,40,Salary,"($263,645.55)",6,Research,Female,Married,7,14,Mail Check,Yes
12554,63,45,No,$86.90 ,40,Salary,"$445,324.36 ",218,Manufacturing,Male,Divorced,8,12,Mailed Check,No
18968,34,19,No,$49.63 ,40,Salary,"$448,643.51 ",461,InformationTechnology,Prefer Not to Answer,Single,6,14,Direct Deposit,No
24010,31,44,Yes,$74.60 ,40,Salary,"($190,701.29)",-239,Human_Resources,Prefer Not to Answer,Divorced,8,25,Direct_Deposit,No
14813,53,24,No,$31.08 ,40,Salary,"($33,140.04)",-421,Information_Technology,Prefer Not to Answer,Single,4,23,Mail Check,No
26879,44,7,No,$53.66 ,40,Salary,"$186,409.03 ",357,HumanResources,Male,Divorced,3,12,Mail Check,No
14506,56,8,No,$75.10 ,40,Salary,"($406,899.54)",46,Research,Prefer Not to Answer,Divorced,5,7,Mail_Check,Yes
12057,49,7,Yes,$89.51 ,40,Salary,"$25,854.73 ",-113,Marketing,Male,Married,N/A,15,DirectDeposit,N/A
14788,61,17,Yes,$26.98 ,40,Salary,"($140,735.46)",181,Laboratory,Female,Divorced,2,10,Direct_Deposit,No
25303,55,11,Yes,$46.42 ,40,Salary,"($131,640.15)",326,Manufacturing,Prefer Not to Answer,Divorced,2,11,DirectDeposit,Yes
18798,42,17,Yes,$90.44 ,40,Salary,"$399,859.85 ",-469,Information Technology,Female,Married,N/A,1,Mail_Check,N/A
22215,39,4,Yes,$44.32 ,40,Salary,"($260,813.42)",259,Information_Technology,Male,Single,8,23,Direct Deposit,No
18686,28,21,Yes,$88.17 ,40,Salary,"($324,917.15)",237,Research,Prefer Not to Answer,Married,1,2,Mail_Check,Yes
19144,46,13,No,$57.50 ,40,Salary,"$445,733.40 ",-350,Information_Technology,Prefer Not to Answer,Married,3,13,Direct Deposit,N/A
20230,56,21,Yes,$57.65 ,40,Salary,"$301,596.75 ",396,Information Technology,Male,Married,5,14,DirectDeposit,No
28259,55,38,No,$67.66 ,40,Salary,"$338,761.65 ",-109,Information_Technology,Male,Single,4,13,Mail Check,No
26039,39,6,Yes,$35.58 ,40,Salary,"($330,638.30)",245,Research,Male,Single,2,3,Mailed Check,N/A
17048,34,7,No,$89.56 ,40,Salary,"$58,348.62 ",236,Sales,Female,Single,5,15,Direct_Deposit,No
26150,27,19,Yes,$61.91 ,40,Salary,"($252,072.32)",242,Laboratory,Male,Single,8,23,Direct_Deposit,No
10748,36,27,Yes,$92.10 ,40,Salary,"$289,767.57 ",-35,HumanResources,Male,Single,5,22,Mail Check,No
11337,24,25,No,$92.11 ,40,Salary,"$165,499.89 ",363,Human Resources,Prefer Not to Answer,Married,5,25,Mail Check,No
14453,56,30,No,$68.33 ,40,Salary,"($222,187.40)",-137,Manufacturing,Female,Single,6,14,Mailed Check,Yes
29687,52,13,Yes,$42.16 ,40,Salary,"($440,712.91)",-90,Sales,Female,Married,3,22,Mailed Check,Yes
13910,38,37,No,$73.52 ,40,Salary,"$316,819.18 ",-338,Research,Male,Divorced,5,5,Direct_Deposit,No
20307,55,31,No,$35.27 ,40,Salary,"($220,740.34)",330,Information Technology,Female,Married,4,16,Direct Deposit,Yes
10605,35,29,No,$51.99 ,40,Salary,"($206,857.67)",-446,InformationTechnology,Female,Married,9,22,DirectDeposit,No
23538,25,23,Yes,$83.05 ,40,Salary,"$114,084.02 ",144,Manufacturing,Prefer Not to Answer,Single,1,15,Mail_Check,N/A
18974,62,47,Yes,$38.64 ,40,Salary,"$412,300.34 ",-341,Human_Resources,Male,Married,8,17,Mailed Check,Yes
12464,60,32,No,$20.94 ,40,Salary,"($447,816.32)",386,Healthcare,Prefer Not to Answer,Divorced,7,9,Mail Check,N/A
28722,25,21,Yes,$53.07 ,40,Salary,"$341,715.23 ",183,InformationTechnology,Female,Divorced,2,23,Mail_Check,Yes
17587,19,8,Yes,$48.98 ,40,Salary,"$10,155.57 ",7,Healthcare,Prefer Not to Answer,Divorced,N/A,12,Mail_Check,N/A
11597,38,20,No,$69.18 ,40,Salary,"$250,505.74 ",35,Healthcare,Female,Divorced,8,8,Mailed Check,N/A
25780,61,17,Yes,$61.36 ,40,Salary,"($245,669.85)",67,InformationTechnology,Male,Single,8,1,Mail_Check,N/A
16809,33,46,No,$31.83 ,40,Salary,"($348,973.55)",100,Laboratory,Female,Single,1,4,Mailed Check,N/A
16293,64,45,No,$41.04 ,40,Salary,"($468,893.08)",-266,HumanResources,Male,Divorced,7,3,DirectDeposit,Yes
18344,29,8,No,$32.31 ,40,Salary,"($475,895.59)",-209,Human_Resources,Male,Divorced,6,13,Mail_Check,No
10103,47,27,Yes,$76.09 ,40,Salary,"($152,815.45)",310,Human_Resources,Male,Divorced,8,11,Mailed Check,Yes
10086,53,40,Yes,$22.17 ,40,Salary,"$51,709.60 ",-141,Human_Resources,Male,Divorced,8,8,Mailed Check,Yes
22002,62,14,Yes,$25.62 ,40,Salary,"($372,235.30)",232,Healthcare,Prefer Not to Answer,Married,5,11,Mailed Check,Yes
16480,24,21,Yes,$69.56 ,40,Salary,"($3,691.90)",24,Sales,Female,Single,7,24,DirectDeposit,N/A
23628,18,15,No,$57.80 ,40,Salary,"$418,953.30 ",-358,Marketing,Prefer Not to Answer,Single,3,4,DirectDeposit,N/A
27030,22,11,Yes,$81.85 ,40,Salary,"$399,109.14 ",-437,Manufacturing,Male,Single,9,N/A,Direct_Deposit,N/A
17055,42,26,No,$69.78 ,40,Salary,"$341,993.48 ",8,Laboratory,Female,Divorced,N/A,1,Mail Check,Yes
20302,25,36,No,$20.82 ,40,Salary,"$452,127.88 ",-63,Research,Female,Divorced,N/A,N/A,MailedCheck,Yes
26165,21,23,Yes,$71.38 ,40,Salary,"($266,210.69)",-33,Research,Female,Married,5,25,DirectDeposit,No
18589,57,35,No,$45.45 ,40,Salary,"$7,785.00 ",176,Human_Resources,Prefer Not to Answer,Married,5,18,MailedCheck,Yes
19139,25,32,Yes,$92.68 ,40,Salary,"$203,607.58 ",230,Healthcare,Prefer Not to Answer,Single,3,10,MailedCheck,N/A
19445,39,25,No,$99.71 ,40,Salary,"($384,860.01)",395,Sales,Prefer Not to Answer,Single,5,3,Mail Check,Yes
22403,19,42,Yes,$82.36 ,40,Salary,"$423,854.59 ",-114,Healthcare,Prefer Not to Answer,Divorced,5,5,DirectDeposit,Yes
22710,48,14,No,$55.91 ,40,Salary,"$19,890.70 ",-87,Healthcare,Prefer Not to Answer,Divorced,4,3,Mail_Check,N/A
10852,32,31,Yes,$67.49 ,40,Salary,"($207,109.68)",-261,InformationTechnology,Male,Married,2,25,Mailed Check,N/A
16400,54,41,No,$42.71 ,40,Salary,"$171,086.25 ",-127,Sales,Female,Married,6,21,MailedCheck,Yes
27217,37,33,Yes,$41.29 ,40,Salary,"($354,615.73)",-459,InformationTechnology,Prefer Not to Answer,Single,3,6,MailedCheck,N/A
28036,37,26,No,$23.85 ,40,Salary,"($189,041.92)",-35,HumanResources,Male,Married,6,11,Mail Check,Yes
20112,24,11,No,$85.09 ,40,Salary,"($455,286.94)",231,Human Resources,Male,Married,3,10,Direct Deposit,No
27042,62,6,No,$73.20 ,40,Salary,"$304,578.53 ",-237,Marketing,Prefer Not to Answer,Married,7,14,Direct Deposit,Yes
13409,55,12,No,$85.41 ,40,Salary,"$340,474.63 ",-322,Information Technology,Male,Divorced,4,5,Direct_Deposit,Yes
14238,19,42,No,$70.99 ,40,Salary,"($422,614.05)",16,Sales,Prefer Not to Answer,Married,9,8,Mailed Check,Yes
15218,42,17,No,$71.42 ,40,Salary,"($349,288.67)",24,Marketing,Female,Single,N/A,20,Mailed Check,N/A
17175,42,27,Yes,$67.09 ,40,Salary,"$497,388.10 ",81,Human Resources,Prefer Not to Answer,Married,3,11,Mail Check,No
22422,60,39,Yes,$85.06 ,40,Salary,"$121,364.87 ",193,Sales,Male,Divorced,1,12,DirectDeposit,Yes
12068,56,2,No,$91.87 ,40,Salary,"$186,813.04 ",-139,Research,Male,Single,9,22,MailedCheck,Yes
19478,23,27,No,$59.25 ,40,Salary,"($60,948.09)",181,Information_Technology,Female,Divorced,N/A,9,Direct Deposit,Yes
29140,61,34,Yes,$36.56 ,40,Salary,"$463,195.64 ",-330,Healthcare,Female,Divorced,3,22,DirectDeposit,N/A
23648,56,26,Yes,$71.56 ,40,Salary,"($179,837.23)",28,HumanResources,Female,Divorced,2,1,Direct Deposit,Yes
25989,60,21,Yes,$89.65 ,40,Salary,"($149,122.81)",-237,Human_Resources,Male,Single,3,7,Mailed Check,Yes
24328,20,10,No,$21.86 ,40,Salary,"$397,889.42 ",-476,Manufacturing,Female,Married,7,5,Mail Check,N/A
26404,61,28,Yes,$58.82 ,40,Salary,"($292,445.31)",-202,Information_Technology,Prefer Not to Answer,Married,7,25,Mail Check,N/A
14091,53,25,Yes,$23.29 ,40,Salary,"$234,439.56 ",403,Human Resources,Prefer Not to Answer,Single,6,14,MailedCheck,N/A
18825,41,14,Yes,$70.77 ,40,Salary,"($138,779.93)",312,Information_Technology,Prefer Not to Answer,Single,5,9,Mail Check,N/A
24444,52,3,Yes,$78.97 ,40,Salary,"($186,161.79)",479,Manufacturing,Prefer Not to Answer,Divorced,N/A,5,Mail_Check,Yes
23191,47,3,Yes,$25.65 ,40,Salary,"($464,455.40)",-77,Human_Resources,Prefer Not to Answer,Married,8,5,DirectDeposit,Yes
20686,50,26,No,$71.69 ,40,Salary,"$461,360.45 ",248,Information Technology,Female,Single,2,1,Direct_Deposit,No
24675,40,5,No,$39.41 ,40,Salary,"($135,806.07)",-209,Information_Technology,Male,Divorced,2,8,DirectDeposit,Yes
16123,27,16,No,$46.10 ,40,Salary,"$143,452.63 ",76,Human_Resources,Male,Single,2,14,Mail_Check,No
15194,55,31,Yes,$66.69 ,40,Salary,"$376,939.00 ",-113,Human Resources,Prefer Not to Answer,Divorced,2,19,DirectDeposit,No
18867,46,34,Yes,$29.38 ,40,Salary,"$262,651.06 ",322,Research,Prefer Not to Answer,Single,9,24,Mailed Check,No
12393,45,20,Yes,$34.35 ,40,Salary,"($417,340.63)",-29,Sales,Male,Divorced,7,1,DirectDeposit,No
15898,53,39,Yes,$92.71 ,40,Salary,"$359,141.58 ",-263,Manufacturing,Male,Single,6,22,Direct_Deposit,Yes
27509,60,39,Yes,$98.05 ,40,Salary,"($402,183.35)",46,Sales,Prefer Not to Answer,Divorced,N/A,5,Mailed Check,Yes
23622,35,39,No,$52.44 ,40,Salary,"$397,210.70 ",43,Information Technology,Female,Divorced,4,7,Mail_Check,N/A
26758,53,20,No,$17.69 ,40,Salary,"($274,902.04)",307,Marketing,Female,Divorced,4,24,DirectDeposit,No
27693,31,3,Yes,$60.57 ,40,Salary,"$380,398.02 ",468,Laboratory,Female,Single,N/A,N/A,Mailed Check,Yes
27760,55,9,No,$26.23 ,40,Salary,"($373,874.36)",-138,Information_Technology,Male,Married,3,17,Mail Check,No
25750,23,32,No,$41.74 ,40,Salary,"$196,148.36 ",230,InformationTechnology,Male,Divorced,6,16,Direct_Deposit,N/A
27958,47,15,Yes,$49.55 ,40,Salary,"($68,026.31)",-192,InformationTechnology,Male,Married,8,18,DirectDeposit,No
11388,35,45,Yes,$76.91 ,40,Salary,"($122,217.83)",-493,Healthcare,Female,Single,5,22,Mailed Check,N/A
28754,62,2,Yes,$52.78 ,40,Salary,"($400,833.05)",469,HumanResources,Prefer Not to Answer,Married,4,17,Mail Check,N/A
15990,64,39,No,$34.47 ,40,Salary,"$437,137.66 ",-156,HumanResources,Female,Divorced,9,16,Direct_Deposit,Yes
27000,24,45,No,$95.92 ,40,Salary,"($53,280.00)",297,Research,Prefer Not to Answer,Married,7,13,MailedCheck,No
13486,24,10,Yes,$81.20 ,40,Salary,"($186,868.15)",291,HumanResources,Prefer Not to Answer,Married,5,25,Direct Deposit,Yes
18389,41,1,Yes,$97.27 ,40,Salary,"($235,939.09)",3,Sales,Prefer Not to Answer,Single,8,2,DirectDeposit,Yes
17083,64,21,Yes,$44.70 ,40,Salary,"$389,929.69 ",350,Manufacturing,Female,Divorced,2,20,Mailed Check,Yes
28918,20,2,No,$59.56 ,40,Salary,"$440,555.08 ",-494,Marketing,Prefer Not to Answer,Single,6,20,DirectDeposit,No
14616,47,33,Yes,$45.55 ,40,Salary,"($197,199.22)",-373,Manufacturing,Prefer Not to Answer,Married,3,8,MailedCheck,Yes
11083,60,5,Yes,$20.54 ,40,Salary,"$254,795.76 ",-83,Research,Male,Married,8,4,Direct Deposit,No
12941,32,26,No,$33.38 ,40,Salary,"$158,523.79 ",-370,Human Resources,Female,Married,3,5,Direct_Deposit,No
27700,44,40,Yes,$98.21 ,40,Salary,"($69,293.45)",-31,Sales,Female,Divorced,3,8,Mail Check,No
19136,58,40,No,$86.08 ,40,Salary,"$264,348.75 ",117,Information_Technology,Female,Divorced,3,20,MailedCheck,N/A
21987,43,34,No,$93.63 ,40,Salary,"($250,049.24)",457,Human_Resources,Male,Married,5,25,Mailed Check,N/A
13014,49,26,No,$87.65 ,40,Salary,"$140,550.80 ",-31,HumanResources,Female,Single,2,20,MailedCheck,Yes
11432,55,45,Yes,$75.04 ,40,Salary,"$495,024.86 ",234,Manufacturing,Prefer Not to Answer,Married,4,7,MailedCheck,Yes
10115,19,14,No,$57.59 ,40,Salary,"$470,766.20 ",315,Sales,Female,Divorced,N/A,3,Direct_Deposit,No
10377,60,6,Yes,$38.59 ,40,Salary,"$250,247.82 ",-416,Information_Technology,Female,Married,4,6,DirectDeposit,Yes
25036,27,32,No,$26.94 ,40,Salary,"$39,057.79 ",-129,Human Resources,Female,Married,5,13,Mailed Check,Yes
11539,53,45,Yes,$34.50 ,40,Salary,"($356,424.35)",208,InformationTechnology,Prefer Not to Answer,Divorced,1,23,Mail_Check,N/A
27745,63,4,No,$38.99 ,40,Salary,"$217,418.69 ",119,Manufacturing,Male,Divorced,1,20,Mail_Check,N/A
12040,23,47,Yes,$85.42 ,40,Salary,"($288,558.82)",8,Healthcare,Prefer Not to Answer,Married,N/A,20,Mail_Check,No
25172,46,13,No,$93.72 ,40,Salary,"($88,529.54)",447,Information Technology,Male,Single,N/A,23,Direct_Deposit,No
18157,25,18,Yes,$88.69 ,40,Salary,"$303,400.92 ",-37,Information_Technology,Male,Divorced,5,N/A,Mail Check,N/A
12747,46,18,No,$40.33 ,40,Salary,"($364,733.73)",193,InformationTechnology,Male,Married,9,1,Mail Check,N/A
20531,56,8,Yes,$90.45 ,40,Salary,"($1,284.96)",-57,Information_Technology,Male,Married,2,13,Direct Deposit,Yes
14432,31,22,No,$96.05 ,40,Salary,"$102,661.34 ",223,Information_Technology,Male,Married,6,3,Mail_Check,No
20571,30,43,No,$30.66 ,40,Salary,"$316,606.04 ",133,Human Resources,Male,Divorced,3,N/A,Mailed Check,Yes
11091,65,26,No,$29.55 ,40,Salary,"($139,047.35)",388,Human_Resources,Female,Divorced,8,20,Direct_Deposit,Yes
19608,51,13,No,$83.73 ,40,Salary,"$193,581.82 ",168,Information_Technology,Prefer Not to Answer,Single,2,25,DirectDeposit,N/A
28578,42,43,Yes,$36.82 ,40,Salary,"$48,963.77 ",-178,Healthcare,Male,Single,3,8,Direct_Deposit,N/A
21305,25,30,No,$92.81 ,40,Salary,"($13,462.54)",89,Manufacturing,Female,Divorced,5,16,Direct Deposit,N/A
28759,20,18,No,$73.56 ,40,Salary,"($216,640.87)",368,Research,Male,Single,3,3,DirectDeposit,N/A
14721,57,10,Yes,$82.34 ,40,Salary,"($207,029.33)",411,Research,Prefer Not to Answer,Married,6,16,Mailed Check,Yes
23623,39,7,No,$23.42 ,40,Salary,"($33,341.99)",36,Human_Resources,Prefer Not to Answer,Single,9,N/A,Direct_Deposit,N/A
18065,37,5,No,$44.59 ,40,Salary,"$472,652.78 ",63,InformationTechnology,Female,Divorced,3,18,DirectDeposit,N/A
11530,55,22,Yes,$32.46 ,40,Salary,"($442,404.22)",-49,Laboratory,Prefer Not to Answer,Divorced,7,11,Mail Check,No
21332,50,43,Yes,$56.76 ,40,Salary,"$481,912.69 ",55,InformationTechnology,Female,Single,5,22,Direct Deposit,Yes
14817,54,31,No,$68.71 ,40,Salary,"($262,255.66)",-90,Sales,Male,Married,7,12,MailedCheck,N/A
25146,58,16,Yes,$72.01 ,40,Salary,"$495,605.83 ",320,Information_Technology,Prefer Not to Answer,Single,4,25,Mailed Check,N/A
20006,38,12,Yes,$48.67 ,40,Salary,"$83,883.56 ",130,Marketing,Female,Divorced,4,8,Mail Check,N/A
15441,47,12,No,$81.34 ,40,Salary,"($121,538.67)",251,Manufacturing,Female,Single,8,6,DirectDeposit,N/A
14038,47,46,No,$25.02 ,40,Salary,"$264,966.20 ",413,HumanResources,Prefer Not to Answer,Married,2,8,Mailed Check,Yes
28171,47,44,Yes,$49.32 ,40,Salary,"($218,764.03)",448,Research,Male,Single,9,N/A,Direct_Deposit,Yes
21400,54,46,Yes,$62.11 ,40,Salary,"$180,160.44 ",-398,Healthcare,Prefer Not to Answer,Married,4,2,Direct Deposit,No
25492,27,28,No,$53.26 ,40,Salary,"($185,344.66)",45,Healthcare,Male,Divorced,8,22,Direct Deposit,Yes
