ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
74,924643,3112,6,6,1611,11.9,7.6,11,14.8,88.8,1.44,8,1,2,No,yellow,Yes,2,8,1185.0205,0
76,765083,2400,5,1,1380,5.3,6.2,34,7.3,90.6,1.77,5,8,3,No,red,Yes,2,6,10.8205,0
82,760604,2040,1,6,1276,43.7,9.1,17,11.5,91.2,1.33,4,9,7,No,yellow,Yes,3,43,105.8205,0
83,989445,3019,2,6,1007,31.9,9.3,2,10.5,94.1,1.15,4,2,6,No,red,Yes,2,43,165.6705,1
86,630105,1510,4,4,387,65.9,8.8,100,0.8,93,1.39,2,6,6,No,red,Yes,1,28,892.4205,0
92,909666,2526,1,1,762,6,7,10,13.7,95.5,1.79,1,2,7,No,red,Yes,1,39,226.4705,1
94,802797,1605,3,2,1010,35.4,8.5,30,8.9,95,1.22,8,10,9,No,red,Yes,1,26,1121.3705,1
95,734581,1569,5,2,975,4.7,7.4,28,0.5,90.3,1.45,5,3,5,No,white,Yes,2,30,1503.2705,0
97,968084,1997,1,7,257,1.4,8,24,3.5,90.5,0.6,5,2,6,No,white,Yes,2,37,1174.5705,0
101,641078,1097,4,5,265,58.3,9.5,4,11.3,90.9,1.48,1,8,3,No,blue,Yes,2,-1,1444.3705,0
103,829803,1597,1,3,816,25.8,9,4,5.9,92.9,1.41,2,6,4,No,red,Yes,2,29,791.7205,1
117,713338,1778,3,6,1187,23.2,8.3,8,1.4,93.9,1.91,7,8,8,No,white,Yes,3,0,501.9705,0
118,643512,1196,3,4,674,51.1,6.9,18,2.3,94,1.35,6,9,5,No,green,Yes,2,15,952.2705,0
120,1030986,2342,2,5,1302,25.4,8.3,23,4.5,89.5,0.91,10,3,5,No,blue,Yes,1,-4,630.2205,0
123,921570,2941,4,5,1268,30.8,8.2,25,10.6,96.7,1.84,2,2,7,No,red,Yes,2,14,290.1205,1
127,774707,1273,2,5,645,51.3,8.6,17,3.8,97.5,1.28,3,2,2,No,yellow,Yes,3,38,281.5705,0
129,730762,1864,5,4,852,28.5,6.4,8,10,94.6,1.32,5,7,2,No,blue,Yes,3,17,1356.0205,0
130,699679,1509,1,2,876,23.3,5.6,3,8.7,87.8,1.62,1,8,5,No,green,Yes,2,9,930.4205,0
134,907689,2125,4,1,840,7.7,7.7,10,2.5,93.4,0.73,7,2,2,No,green,Yes,3,45,513.3705,0
139,852351,2393,1,5,624,19.2,7.8,52,12.4,89.9,1.49,4,3,6,No,blue,Yes,2,22,782.2205,0
150,746113,1997,4,3,845,53.8,6.3,43,5.7,94.1,1.74,5,8,10,No,green,Yes,2,15,1027.3205,1
162,698625,2371,3,5,794,27.3,5.6,5,1,96.3,2.08,10,7,6,No,blue,Yes,2,6,920.9205,0
164,845003,1351,5,3,847,11.7,8.3,15,6.3,94.8,1.42,2,7,6,No,blue,Yes,2,7,1280.9705,1
171,426241,1318,5,2,200,50.7,8.9,36,17,90.8,1.3,8,2,8,No,yellow,Yes,2,61,902.8705,0
172,660796,1353,6,6,489,43.8,8.6,14,1.2,92.4,1.19,2,2,5,No,blue,Yes,2,42,507.6705,0
185,726904,1665,2,7,523,1.3,6.5,23,23.8,94.9,1.24,3,6,8,No,yellow,Yes,2,53,238.8205,1
190,696679,1059,4,2,934,25.6,8.1,64,4.2,96.3,1.6,8,4,6,No,white,Yes,1,55,700.5205,1
191,647672,1540,6,6,210,29.5,8.1,76,14.4,87.4,1.13,5,2,9,No,blue,Yes,2,20,775.5705,1
193,794798,1940,5,4,895,19.5,7.8,8,10.5,93.2,1.47,4,7,2,No,red,Yes,2,54,991.2205,1
195,732701,1912,2,4,316,33.2,8,22,5,89.5,1.58,6,1,1,No,green,Yes,3,-2,492.4705,0
197,697547,1321,5,5,1000,25,9.4,20,2,93.8,1.49,9,7,6,No,red,Yes,3,35,1546.9705,1
201,1024985,2040,3,6,1296,37.2,5.7,7,4.8,95.9,1.67,5,4,10,No,red,Yes,1,12,816.4205,0
204,938766,2603,1,2,812,12.6,8.6,14,2.3,91.1,1.49,4,7,2,No,yellow,Yes,2,46,564.6705,0
207,1018102,2156,5,7,1123,50.4,9.5,9,4,90.6,1.64,9,4,9,No,green,Yes,2,30,524.7705,1
212,973771,2678,5,6,614,48.2,7.2,5,3.6,93.5,1.65,9,2,5,No,yellow,Yes,2,44,581.7705,0
213,1009054,2514,5,5,1305,18.5,8.5,0,1,89.6,1.17,7,6,4,No,green,Yes,3,47,1043.4705,0
224,531479,1024,2,3,200,31.3,9.5,46,3.6,88.5,1.46,8,8,5,No,green,Yes,1,12,1065.3205,1
228,533967,1234,2,4,212,37.9,6.6,41,3.5,82.5,1.64,5,9,2,No,blue,Yes,2,42,13.6705,1
229,756476,1401,4,5,200,23.9,7.3,1,0.8,91.8,1.72,8,3,8,No,white,Yes,2,54,623.5705,1
230,777411,2283,4,7,806,64.2,7.2,29,3.1,94.3,1.12,2,1,6,No,red,Yes,1,50,324.3205,0
234,791544,1433,2,7,455,0.9,6.6,10,2.3,91.8,1.47,3,10,2,No,blue,Yes,2,44,788.8705,1
242,704515,1729,2,3,582,5.2,8.2,0,18.4,89.8,1.72,6,7,1,No,green,Yes,1,43,727.1205,1
247,571393,1524,3,5,668,36.6,5.7,49,16.2,87.7,0.96,3,9,10,No,yellow,Yes,3,5,1023.5205,1
250,720999,2074,2,5,200,61.1,7.9,2,4.1,88.3,1.18,6,10,7,No,yellow,Yes,1,-1,1521.3205,0
253,1192506,3783,2,7,1172,12.4,9.4,88,12.2,96.1,0.74,10,1,7,No,red,Yes,1,14,61.1705,0
256,769180,1519,4,4,365,20.7,8.7,13,4.5,89,1.36,9,1,2,No,white,Yes,2,-1,1014.9705,0
258,670905,1405,2,4,200,17.2,9.8,29,15.3,95.7,2.26,2,1,3,No,white,Yes,1,44,628.3205,1
267,952063,3187,6,6,1029,14.1,7.2,21,12.5,94.7,1.6,2,10,2,No,blue,Yes,2,56,1390.2205,1
268,553488,1091,4,4,200,10.5,5.9,5,22.1,94.3,1.3,5,3,7,No,blue,Yes,2,11,1062.4705,0
271,1018358,2981,3,3,1567,9.9,7.3,57,1.5,97.9,1.59,1,8,8,No,yellow,Yes,2,37,1184.0705,0
275,522089,1277,3,5,219,13.9,5.2,1,10.8,93.2,1.34,6,3,5,No,red,Yes,1,17,1236.3205,0
276,809039,2116,4,5,200,10.7,8.5,3,12.1,92.3,1.9,7,10,6,No,white,Yes,1,-4,329.0705,0
282,915554,2269,6,5,831,14.4,7.9,3,5,98.6,1.83,5,4,6,No,red,Yes,2,4,838.2705,1
283,1144689,3136,5,5,802,19.3,9.2,30,7.3,91.9,1.51,3,10,2,No,green,Yes,2,9,310.0705,1
285,1127604,3798,2,6,1398,5.3,5.7,14,1.4,90.3,1.96,2,2,4,No,red,Yes,2,26,1054.8705,1
288,776804,2212,6,6,911,23.2,7.3,37,7.7,89.2,0.92,9,6,5,No,green,Yes,1,10,437.3705,0
292,697301,1515,3,2,648,28,5.9,7,4.9,92.7,1.14,2,7,5,No,blue,Yes,1,63,1505.1705,1
293,723083,1464,2,3,200,12,9.3,15,10.7,94.2,1.81,9,5,7,No,blue,Yes,1,34,377.5205,1
298,868054,2004,2,4,453,7.8,7.6,29,2,89,1.27,4,10,5,No,red,Yes,2,4,1498.5205,0
303,1034527,2338,2,5,1005,10,8.7,37,8.1,99,1.76,10,4,1,No,yellow,Yes,2,25,1507.0705,0
305,635841,1787,6,5,974,15.4,8.3,57,21.8,95.8,1.44,2,7,6,No,green,Yes,2,12,472.5205,1
308,836551,1463,5,2,643,20.6,8.6,14,10.5,89.4,1.56,7,3,7,No,yellow,Yes,2,0,869.6205,0
318,667540,1615,5,2,216,40.4,5.8,11,3.7,99,1.52,6,1,4,No,blue,Yes,2,-2,1368.3705,1
330,923056,2243,3,6,997,9.2,8.7,61,0.5,97.6,0.82,10,4,10,No,green,Yes,1,57,304.3705,1
334,767153,1420,1,7,802,7,8.7,33,1.7,94.8,1.48,9,7,2,No,red,Yes,1,48,26.0205,1
337,652153,1348,3,4,959,39.6,5.6,14,13,97.5,1.94,4,3,7,No,white,Yes,1,16,323.3705,1
342,833562,1960,2,2,713,15.6,7.3,4,12.6,91.1,0.58,1,3,10,No,white,Yes,2,46,722.3705,0
347,621220,1084,6,3,495,17.6,8.4,15,8.7,99,1.19,3,9,1,No,yellow,Yes,3,19,1110.9205,0
348,582771,1100,2,6,647,66.6,8.6,30,18.8,96.2,1.58,1,9,8,No,green,Yes,2,24,1051.0705,0
355,616808,1788,4,6,200,42,7.1,28,18.6,91.4,1.32,6,4,4,No,blue,Yes,1,10,964.6205,0
356,592201,1267,6,5,612,49.3,6.2,30,4.7,94.6,1.44,8,7,6,No,blue,Yes,2,23,1431.0705,1
357,808386,1788,6,2,857,41.2,5.9,5,0.6,94.3,1.84,9,9,10,No,blue,Yes,2,-3,753.7205,0
358,737935,1627,4,6,831,20.5,9,1,16.9,94.1,1.42,5,4,5,No,white,Yes,2,37,177.0705,0
364,828239,2072,4,2,774,31.5,8.5,1,0.9,87.8,1.23,7,6,4,No,green,Yes,2,43,87.7705,1
367,830397,1947,4,4,568,36.8,8.9,7,10.9,91.7,1.52,5,5,10,No,yellow,Yes,2,46,1157.4705,0
370,732457,1373,1,6,610,40.4,8,7,1.7,93.2,1.62,7,8,2,No,yellow,Yes,3,7,940.8705,1
374,863259,2518,4,4,997,22.3,7.5,11,0.5,90.7,1.37,6,1,1,No,red,Yes,3,12,1020.6705,0
375,1134400,3824,3,2,1055,14.9,9,23,6.6,95.1,1.69,8,5,8,No,yellow,Yes,3,60,1545.0705,0
379,1295966,3874,4,7,1216,34.1,7.5,11,1.7,94.4,1.86,1,8,6,No,green,Yes,2,55,1080.5205,0
382,599907,1459,3,3,200,3.1,6.6,5,6.2,96.1,1.25,7,6,4,No,white,Yes,3,55,853.4705,0
384,585765,1497,1,5,200,38.9,6.9,2,3.2,86.6,1.35,4,7,2,No,yellow,Yes,3,47,637.8205,0
386,760186,1897,3,4,792,9.2,5.9,6,2.2,85.7,1.19,7,9,1,No,red,Yes,1,37,1524.1705,1
388,931801,3471,3,3,1826,58.6,6.8,41,7,92.5,1.66,10,9,4,No,red,Yes,2,22,1049.1705,0
390,678281,1471,4,4,798,37.9,9.1,25,5,86.8,1.61,4,5,4,No,white,Yes,2,58,1348.4205,0
392,920723,2138,3,3,1278,14.5,7.9,17,4.3,89.7,1.14,7,4,2,No,red,Yes,3,46,1090.0205,0
394,1014240,3417,1,2,1185,7,9.6,77,2.4,87.9,1.44,3,3,4,No,yellow,Yes,3,-4,1254.3705,1
397,657858,988,1,1,569,17.6,6,17,20.3,95.4,1.6,9,9,10,No,blue,Yes,2,9,658.7205,0
398,931400,2891,2,2,846,18,8.2,4,5.3,94.7,1.37,8,6,8,No,white,Yes,2,30,1318.9705,1
399,746005,1729,1,1,419,2,5.6,60,8.2,96.3,1.8,4,2,10,No,yellow,Yes,2,38,8.9205,1
406,688078,2238,4,6,1415,21.4,5.3,14,27.7,91.5,1.89,8,4,5,No,blue,Yes,2,34,763.2205,0
411,1047301,2309,6,3,796,15.2,7.1,12,5.2,99,1.4,2,8,6,No,red,Yes,2,3,1162.2205,0
412,683272,1214,1,7,200,10.8,8.6,57,8.3,98.1,1.48,3,5,1,No,white,Yes,1,46,995.0205,1
414,1026624,2815,5,2,844,11.4,10,53,10.1,97.5,0.68,9,4,6,No,white,Yes,3,60,1119.4705,1
418,831927,1874,6,6,790,9.4,8.2,29,21.1,94.4,1.98,1,3,5,No,white,Yes,1,58,1274.3205,0
426,1023344,2906,2,7,1025,9,8.2,99,9.4,92.3,1.21,5,9,6,No,green,Yes,1,9,671.0705,1
431,526374,1190,2,4,718,26.2,8.2,53,8,93.2,1.91,8,7,3,No,yellow,Yes,1,11,143.8205,1
441,646288,2059,5,6,200,40.9,8.3,86,6.3,89.3,1.34,5,3,10,No,green,Yes,1,-3,822.1205,1
445,606491,1140,5,5,901,15.1,8.1,32,18.5,88.4,1.45,7,2,1,No,red,Yes,2,37,830.6705,0
454,790844,2147,3,5,832,12.4,6.1,18,6.6,95.5,1.38,9,9,1,No,white,Yes,3,52,129.5705,0
457,777216,1734,3,4,880,50,9.2,47,0.8,96.1,0.86,3,2,1,No,white,Yes,2,60,1027.3205,1
462,732309,1822,1,3,623,37.2,8.4,8,40,96.1,1.15,4,2,1,No,blue,Yes,1,49,526.6705,0
471,756663,1635,2,2,717,45.1,9.8,34,0.5,96.6,0.96,2,4,7,No,white,Yes,1,60,469.6705,0
474,840137,2904,3,2,839,15.1,7.1,7,40,82.9,1.27,9,3,9,No,green,Yes,2,46,1486.1705,0
475,970586,3201,5,2,376,31.7,6.7,8,1.6,97.5,1.39,6,7,7,No,green,Yes,1,53,333.8205,0
478,819376,2007,2,4,1259,27.6,8.1,8,6.2,93.6,2.12,7,8,1,No,white,Yes,2,1,179.9205,0
488,710175,1233,1,7,850,36.3,7.4,8,0.6,85.1,1.27,7,7,10,No,red,Yes,2,31,865.8205,0
489,1003040,3249,2,2,969,24.7,8.4,18,1,93.2,1.07,10,5,2,No,blue,Yes,3,33,412.6705,0
491,776173,1795,5,6,702,21.1,8,18,5.3,92.8,1.09,1,6,3,No,green,Yes,2,24,1273.3705,1
492,801947,3022,6,4,1042,23,7.9,56,2.2,89.3,1.56,5,8,4,No,white,Yes,2,42,1470.9705,0
493,649972,1849,3,3,496,35,8.7,27,11.7,90.5,1.77,1,8,9,No,yellow,Yes,2,3,68.7705,0
495,1073425,3068,5,5,750,3.6,7.9,35,10.4,95.6,1.84,4,7,3,No,blue,Yes,3,-1,153.3205,0
498,776072,1684,5,6,844,30.3,7.4,46,2.6,94.4,0.94,6,2,9,No,white,Yes,3,59,1057.7205,1
10,557310,1346,5,3,761,57.5,8.2,21,12.8,95.9,1.17,6,4,8,No,red,Yes,3,35,1224.9205,1
13,795397,1656,4,2,922,22.7,8.3,6,1.3,92.8,1.6,8,10,6,No,white,Yes,2,29,1509.9205,0
15,709703,1471,2,6,587,42.6,6.8,20,19.2,94.8,1.54,8,7,1,No,white,Yes,2,35,969.3705,0
28,664994,1831,3,6,795,26.9,6.9,48,17.8,96.9,0.92,2,10,6,No,green,Yes,2,42,1383.5705,1
29,970823,1971,5,4,751,57,6.6,0,0.5,91.8,1.62,2,2,5,No,white,Yes,3,20,677.7205,0
34,601988,1178,6,2,203,15.2,7.9,54,5.5,92.9,1.05,9,6,10,No,yellow,Yes,3,47,71.6205,0
37,645983,1332,5,6,200,39.5,9.9,73,4.3,90.4,1.47,1,6,8,No,blue,Yes,2,24,1243.9205,1
42,595193,1212,3,4,223,28.5,6.5,5,8.4,85.7,1.54,2,2,10,No,yellow,Yes,3,17,1407.3205,1
43,806772,2167,4,5,1033,38.9,9.6,53,28.3,90.5,1.53,6,9,9,No,red,Yes,3,4,986.4705,0
49,848199,2050,4,3,498,25.4,9.3,1,5.8,90.9,1.96,4,6,10,No,blue,Yes,3,-5,899.0705,0
52,761236,1705,4,3,622,35.6,9.2,7,1.6,91.4,1.15,9,4,2,No,blue,Yes,2,15,1061.5205,1
54,612665,1968,4,4,610,1.7,9.1,63,23.6,89.8,1.1,7,8,3,No,yellow,Yes,2,27,236.9205,1
55,834131,2026,2,2,558,22.1,5.1,10,0.5,94.2,1.38,5,10,9,No,green,Yes,1,5,1216.3705,1
57,791044,1518,6,3,200,12.1,9.2,3,10.4,89.1,1.24,10,10,10,No,blue,Yes,2,49,256.8705,0
59,832774,2066,6,1,522,46.1,9.2,16,9.6,96.3,1.05,8,4,1,No,white,Yes,3,23,678.6705,0
60,755486,1553,2,6,426,5.9,8.6,7,13.6,88,1.28,1,2,10,No,white,Yes,1,47,441.1705,1
62,1052628,3722,5,4,1021,61.7,9.2,7,11.8,99,1.06,7,7,7,No,green,Yes,1,-6,596.0205,0
64,717391,1606,5,3,1049,73,7.1,10,2.3,92.1,1.74,7,6,8,No,yellow,Yes,3,10,236.9205,1
68,597086,1265,5,1,624,19.2,6.5,19,0.5,91.9,1.07,3,5,2,No,green,Yes,2,19,557.0705,0
73,788839,2018,2,5,535,54.8,9.1,21,4.8,92.8,1.75,2,4,9,No,red,Yes,2,25,1442.4705,0
81,947239,2026,1,7,1222,14.6,9.1,23,4.7,98.4,1.18,10,3,8,No,white,Yes,2,40,1250.5705,0
88,794962,1337,2,5,671,7.4,9.5,20,2.6,87.4,0.81,8,1,1,No,red,Yes,2,54,937.0705,0
93,815934,2129,2,7,1183,7.1,7.2,6,11.4,92.6,1.82,5,1,3,No,blue,Yes,1,11,993.1205,0
94,785281,2023,1,2,1106,16.6,7.6,100,13.7,87,0.93,4,2,1,No,blue,Yes,3,56,831.6205,1
95,788951,2588,6,4,942,38,5.5,13,20.5,95.8,1.06,7,7,2,No,white,Yes,1,60,242.6205,0
96,772433,1506,3,6,369,28,9.3,15,4.5,95.9,0.81,9,1,3,No,blue,Yes,2,-4,83.0205,0
97,744780,1638,2,4,233,12.1,9,6,33.4,91.4,1.35,7,2,8,No,yellow,Yes,2,53,125.7705,0
101,794721,2346,5,3,200,23.7,6.9,5,13.6,93.8,1.41,10,2,5,No,white,Yes,2,20,889.5705,1
109,509999,966,1,2,200,18,6.1,25,29.3,98.7,1.12,3,5,5,No,yellow,Yes,3,54,1168.8705,0
117,764414,1870,3,2,1010,37.1,8.8,38,1.5,93,0.97,1,9,6,No,green,Yes,3,61,920.9205,0
121,551329,1365,1,6,605,12.9,7.6,71,7.1,90.8,1.8,7,4,2,No,white,Yes,2,61,1531.7705,0
125,1050797,3144,3,1,671,52.7,9.8,11,21,96.8,1.02,3,10,4,No,red,Yes,2,19,1184.0705,0
129,765370,1835,1,4,340,8.3,9.1,18,7.1,90,1.47,5,8,8,No,red,Yes,2,55,1033.0205,1
135,642937,1263,5,4,418,32.1,6.5,43,2.1,99,0.8,10,8,4,No,green,Yes,1,39,1318.9705,0
136,630908,1009,3,6,200,31.4,7.3,25,19.9,91.6,1.65,2,2,3,No,green,Yes,3,-5,422.1705,0
146,760306,1636,3,1,470,16.2,6.5,14,25.4,93.6,1.31,10,9,8,No,white,Yes,1,59,163.7705,1
156,1064547,1838,6,2,1100,7,8.4,17,1.4,90.9,1.44,3,6,2,No,white,Yes,2,-5,1022.5705,0
164,327756,1488,3,3,600,21.9,5.9,100,15.4,93.6,1.08,4,6,3,No,yellow,Yes,2,6,1249.6205,0
166,658044,1868,2,5,1100,23.7,7.1,7,19.6,93.1,1.42,5,1,1,No,green,Yes,2,16,1317.0705,1
168,937794,3047,3,1,933,21.1,8.1,68,8.8,99,1.23,4,6,7,No,blue,Yes,2,41,1336.0705,0
171,850145,2784,4,3,1040,48.4,7.6,4,9.1,91.8,1.05,5,10,2,No,white,Yes,3,28,978.8705,0
172,652913,871,2,6,441,73.2,9.4,10,2.8,93.1,1.48,2,3,3,No,white,Yes,1,5,1146.0705,1
174,634066,1581,2,4,200,63.9,6.3,8,6.8,93.7,1.29,10,5,7,No,yellow,Yes,2,40,1145.1205,1
181,928613,2317,6,6,672,7.4,7.9,39,8.2,92.9,1.77,10,10,5,No,green,Yes,2,48,368.0205,1
182,775694,1212,5,1,200,17.9,9.7,42,5.8,88.9,0.8,8,10,6,No,yellow,Yes,3,12,977.9205,0
183,717018,1498,4,3,870,35.3,8.9,10,0.8,94.2,1.43,8,7,4,No,green,Yes,2,27,2.2705,1
185,444676,1174,2,2,200,52.9,9,10,11.2,93.2,1.57,6,3,5,No,yellow,Yes,2,55,1036.8205,1
188,877832,1579,2,4,200,6.7,9,14,0.7,97.2,1.15,6,7,9,No,red,Yes,3,8,603.6205,0
189,737229,2309,1,5,802,10.7,5.9,1,5.5,90.5,1.75,2,4,3,No,blue,Yes,2,55,1210.6705,0
191,650217,1586,5,4,725,39,9.7,7,18.2,89.6,1.34,6,4,3,No,blue,Yes,3,49,795.5205,0
198,519702,1162,4,2,622,81.5,9,30,7.4,88.6,1.91,10,7,6,No,green,Yes,1,19,1268.6205,1
202,1133909,2599,2,5,1066,4.9,9.6,12,3.4,93.2,1.5,2,3,8,No,yellow,Yes,1,38,1283.8205,0
204,796444,1099,4,5,387,63.4,8.4,3,2.8,88.6,0.91,9,9,2,No,yellow,Yes,1,7,1422.5205,0
205,689207,1044,5,3,555,43.7,8.7,12,2.6,89.3,1.35,1,10,5,No,blue,Yes,2,49,200.8205,1
206,867005,2225,5,2,496,24.6,9.8,14,16.3,94.6,1.24,8,7,1,No,white,Yes,1,16,1459.5705,0
208,926903,3327,5,7,1512,27.3,8.1,15,5.5,93.2,1.43,9,4,10,No,green,Yes,2,62,1221.1205,1
209,413593,869,2,3,200,22.3,8,32,24.4,86.3,1.55,6,2,5,No,yellow,Yes,2,34,1055.8205,1
216,895024,2648,2,6,904,35.6,7.5,2,0.9,91.1,2.2,3,7,4,No,yellow,Yes,2,1,1513.7205,1
222,618315,989,1,4,429,30,8.9,33,13.3,89.4,1.61,4,2,10,No,red,Yes,1,54,682.4705,0
223,611807,1123,5,1,429,5.1,7.5,11,13.9,87.8,2.06,5,4,1,No,yellow,Yes,2,61,67.8205,1
228,764224,2033,5,3,230,16.7,7.4,8,9.1,88.5,1.44,1,4,2,No,yellow,Yes,1,34,1493.7705,0
229,594700,1490,3,3,360,14.3,9.5,23,9.7,89.5,2.17,8,1,9,No,white,Yes,2,11,671.0705,0
231,883388,1928,5,3,228,34.2,8.2,21,4.8,96.7,0.72,6,1,4,No,blue,Yes,3,58,1369.3205,0
242,621417,1150,5,5,200,15.5,7.3,52,1.7,91.2,1.31,2,8,7,No,red,Yes,3,46,891.4705,0
244,752988,1817,3,6,702,55.4,8.5,45,4.8,90.3,2.08,3,4,10,No,blue,Yes,2,47,940.8705,0
251,816462,1303,3,4,286,11.9,8.9,10,5.1,94.3,1.73,5,8,1,No,green,Yes,1,-1,1314.2205,0
252,767876,1122,1,4,443,11.3,8.3,10,2.7,92.1,1.49,1,2,4,No,red,Yes,3,38,483.9205,0
255,742314,1291,4,4,292,36.3,8,26,4.9,89.3,0.82,8,9,9,No,yellow,Yes,2,16,591.2705,0
262,788181,1879,4,3,358,11.9,8,20,6,94,1.66,10,8,6,No,yellow,Yes,2,-5,938.9705,0
266,565807,1407,4,2,387,13.1,8.3,46,28.7,98.5,1.44,6,8,7,No,white,Yes,2,62,482.0205,1
268,1111550,3345,2,5,1193,23.4,8.7,48,15.5,97.2,1.96,5,3,10,No,red,Yes,3,45,877.2205,1
269,852359,1445,5,6,752,16.9,8.3,27,5.8,90.3,0.85,9,8,8,No,blue,Yes,2,6,922.8205,0
278,555792,1651,6,4,636,40.9,6.5,41,4.5,97.4,1.47,3,4,9,No,red,Yes,2,3,1204.0205,0
290,657736,1006,2,4,200,43.4,9.1,30,5.2,92.9,1.04,10,5,9,No,white,Yes,1,24,503.8705,1
291,736291,2092,5,5,1020,26.1,9.1,23,0.5,92.2,2.24,2,1,10,No,yellow,Yes,3,42,1485.2205,0
300,616334,1819,6,2,223,27.8,7.5,80,10.7,91.2,1.08,9,5,4,No,white,Yes,1,47,1113.7705,0
309,1061386,2794,1,7,253,22.6,9.1,1,1.3,99,1.76,2,1,3,No,red,Yes,1,21,1181.2205,1
310,635293,1316,3,4,389,23.4,9.4,5,29.4,92.1,1.25,3,4,10,No,yellow,Yes,1,29,1248.6705,1
314,652563,1928,2,5,1067,14.1,8.1,24,40,89.3,1.83,5,5,1,No,green,Yes,2,28,836.3705,1
316,608155,1070,5,4,446,19.8,8.4,65,6.4,96.5,0.96,10,1,10,No,yellow,Yes,1,7,1530.8205,1
317,776713,1976,3,7,732,21.8,8.3,4,9.5,91.5,1.51,6,9,8,No,yellow,Yes,3,53,1107.1205,1
322,917892,2948,1,5,1170,61.9,9.7,37,0.8,98.2,0.83,9,6,10,No,white,Yes,3,56,1056.7705,0
324,756194,1585,5,1,394,16.1,8.5,77,1.6,98.2,1.42,3,5,9,No,blue,Yes,2,12,218.8705,1
332,757215,1305,4,3,200,38,7.8,2,4.2,98.7,0.78,4,10,7,No,blue,Yes,2,13,1256.2705,1
343,686838,1215,4,5,234,22.3,9.7,39,5.7,87.3,2.03,6,2,4,No,green,Yes,3,46,305.3205,1
344,788636,2058,2,1,282,17.7,5.7,10,2.6,87.9,1.2,7,3,3,No,blue,Yes,2,41,166.6205,0
