,Total Long-term Debt,Total Long-term Debt,Total Long-term Debt,Total Long-term Debt,Total Equity,Total Equity,Total Equity,Total Equity,Debt to Equity,Debt to Equity,Debt to Equity,Debt to Equity,Total Liabilities,Total Liabilities,Total Liabilities,Total Liabilities,Total Revenue,Total Revenue,Total Revenue,Total Revenue,Profit Margin,Profit Margin,Profit Margin,Profit Margin
Maine,4377174.1575,4955592.99,898487.79,6699022.86,5891154.0,7058138.569999999,314076.46,9134262.4,4.5600000000000005,0.63,0.17,16.81,3135196.8975,2066987.0750000002,248792.6,8158020.84,5732142.3100000005,5855095.375,1464353.61,9754024.88,0.5425,0.545,0.18,0.9
Massachusetts,5718753.466,6186356.73,2960031.45,9076413.5,4453341.33,5724525.78,26524.85,8539389.0,24.728,1.59,0.42,114.51,4523205.694,3503742.5,3011001.81,7014798.77,3811626.9280000003,3932820.83,1761813.71,6729801.76,0.5900000000000001,0.64,0.27,0.87
Michigan,6433234.706666666,7873174.26,2955963.5,8470566.36,6066529.256666667,6200327.91,2577739.8,9421520.06,1.1066666666666667,1.15,0.9,1.27,5975979.53,4389437.93,4207140.62,9331360.04,3707984.9499999997,3794095.11,1523781.56,5806078.18,0.65,0.65,0.33,0.97
Minnesota,5700140.739999999,4758160.83,3557010.1,8865463.36,3512307.678333333,3672142.205,841281.16,6831165.85,2.2133333333333334,2.04,0.56,4.63,5096597.34,4685234.79,1160660.17,9623278.75,6546830.518333334,7109499.645,2596471.27,8732140.37,0.405,0.42500000000000004,0.04,0.94
Mississippi,4063653.2660000003,3852244.2,18062.86,6908236.36,4703544.888,5523359.54,85764.67,8283004.94,17.078,0.62,0.0,80.55,7415570.051999999,8179210.42,4219210.39,8404450.03,5811305.454,6002254.13,1718029.35,9579174.02,0.366,0.43,0.01,0.89
Missouri,6259508.8133333335,8755570.14,1200317.33,8822638.97,4501957.29,4902936.54,1503297.74,7099637.59,2.4466666666666668,1.23,0.24,5.87,2125283.783333333,2014726.53,1221950.28,3139174.54,3870446.966666667,3586484.49,650555.93,7374300.48,0.5733333333333334,0.54,0.48,0.7
Montana,4895532.216666667,4778178.965,545037.34,9189586.83,6483127.945,6385237.140000001,2481642.71,9933652.59,0.985,0.98,0.08,2.14,6280101.991666667,7490043.385,991660.84,9530630.35,4059077.9766666666,3805048.825,514508.47,8527462.46,0.5883333333333333,0.565,0.09,0.94
Nebraska,1474050.905,358407.365,209062.65,4970326.24,5616680.1825,5420762.605,3791723.47,7833472.05,0.2075,0.08,0.04,0.63,4395229.8725000005,4438129.05,1993176.19,6711485.2,4644176.077500001,4256455.125,2622022.85,7441771.21,0.57,0.665,0.18,0.77
Nevada,9461759.15,9461759.15,8991520.25,9931998.05,5538756.494999999,5538756.494999999,4722511.27,6355001.72,1.73,1.73,1.56,1.9,7737872.315,7737872.315,6429572.48,9046172.15,3532238.075,3532238.075,3056597.34,4007878.81,0.43,0.43,0.38,0.48
Ohio,7228720.371666667,7105770.555,4896162.58,9576433.6,5695116.816666666,5794060.33,1552548.99,8841358.53,1.875,1.04,0.68,4.98,7011900.991666667,8150176.8100000005,298345.81,9479769.51,3742952.221666666,3425307.68,836075.22,7900690.14,0.6699999999999999,0.71,0.07,0.97
Oklahoma,3228915.8740000003,2874562.59,939959.45,6432629.49,4719675.266,4943215.28,2641691.79,6884595.6,0.788,0.49,0.26,2.0,4133922.552,4709337.09,227027.39,5703522.0,3004018.152,2177162.36,894675.76,5850602.66,0.396,0.38,0.19,0.71
Oregon,5387802.66,5387802.66,4182080.38,6593524.94,2043260.3499999999,2043260.3499999999,575782.32,3510738.38,6.319999999999999,6.319999999999999,1.19,11.45,6719088.87,6719088.87,5919375.48,7518802.26,1406613.3050000002,1406613.3050000002,1374923.58,1438303.03,0.88,0.88,0.84,0.92
Pennsylvania,5127623.531666666,5604426.494999999,520926.49,9400093.75,4639304.685,4327351.93,568614.02,8602454.13,2.676666666666667,0.895,0.34,11.99,5504793.341666667,4797048.415,2169675.69,9532797.77,6528524.593333334,7444196.890000001,1418954.08,9569062.1,0.5116666666666667,0.44,0.22,0.85
Texas,5593148.233333333,5880528.12,3345054.34,7553862.24,2659709.7600000002,2137555.98,107885.72,5733687.58,24.203333333333333,1.56,1.03,70.02,5443016.846666667,6073523.48,3967684.15,6287842.91,4302343.743333333,5046174.84,1846990.04,6013866.35,0.7033333333333335,0.67,0.53,0.91
Utah,4371377.133333333,5532830.81,774157.0,6807143.59,4556478.336666667,4361711.2,2967564.51,6340159.3,1.1133333333333335,0.87,0.18,2.29,2869416.03,3443074.5,329120.56,4836053.03,3762699.2066666665,3369123.94,792884.41,7126089.27,0.39000000000000007,0.27,0.1,0.8
Vermont,2155894.1,2155894.1,2155894.1,2155894.1,5151705.61,5151705.61,5151705.61,5151705.61,0.42,0.42,0.42,0.42,9621107.99,9621107.99,9621107.99,9621107.99,7070152.1,7070152.1,7070152.1,7070152.1,0.0,0.0,0.0,0.0
Virginia,3402573.5300000003,3267345.7,1223150.52,5852452.2,6676539.8175,6717122.955,4426970.16,8844943.2,0.5225,0.52,0.2,0.85,7392567.6825,7369574.065,5081615.44,9749507.16,5418511.7075,4716471.425,3882796.7,8358307.28,0.6425,0.705,0.28,0.88
Washington,6328548.9875,8091013.130000001,395788.4,8736381.29,2903392.8850000002,2460801.0949999997,1949935.45,4742033.9,2.2575000000000003,2.5,0.18,3.85,4823859.7524999995,5003715.445,1276371.5,8011636.62,5583231.4875,6478722.29,290953.94,9084527.43,0.27,0.26,0.03,0.53
Wisconsin,6338664.93,7118900.11,712177.89,9764842.17,3713322.2185714287,3443924.38,1685087.22,6975681.33,2.4528571428571424,2.07,0.1,5.42,3415068.955714286,4017649.67,57788.17,6504269.78,5739357.198571429,4711072.04,2318907.89,9752015.8,0.3814285714285714,0.36,0.06,0.84
Wyoming,2908868.885,1166524.51,710267.6,8592158.92,4115328.6849999996,3363797.625,874318.45,8859401.04,1.495,0.55,0.1,4.78,1835303.0875,1546334.065,261210.74,3987333.48,3378628.4825000004,2931192.7800000003,1316662.43,6335465.94,0.45999999999999996,0.48,0.09,0.79
