Business ID,Business State,Total Long-term Debt,Total Equity,Debt to Equity,Total Liabilities,Total Revenue,Profit Margin
745316373,Washington,395788.40,2180075.65,0.18,5189907.14,6632033.79,0.22
347736979,Florida,7748672.83,893136.59,8.68,7782106.84,9307328.62,0.36
584594623,Kansas,1665396.16,7451751.22,0.22,5644364.95,4764241.74,0.84
960723413,Washington,8736381.29,4742033.90,1.84,8011636.62,6325410.79,0.53
453646310,Illinois,5550232.53,2676462.11,2.07,7284260.56,9003730.40,0.52
993098726,Colorado,9347923.26,9767030.65,0.96,1245839.70,6326798.55,0.84
842038534,Massachusetts,2960031.45,6988425.73,0.42,3011001.81,1761813.71,0.27
109095160,Oklahoma,939959.45,2641691.79,0.36,5703522.00,5850602.66,0.71
491237093,Washington,7511594.53,1949935.45,3.85,1276371.50,9084527.43,0.30
223196199,Pennsylvania,6815303.59,568614.02,11.99,5449337.62,9569062.10,0.45
52436853,Mississippi,18062.86,7987219.52,0.00,4219210.39,8331827.59,0.43
495534759,Maine,4632686.64,9134262.40,0.51,2904604.47,1464353.61,0.64
98479709,Alaska,7965511.49,1980536.22,4.02,4237705.23,9758357.75,0.44
107517744,Alabama,3160583.78,2285238.44,1.38,6293442.65,2903195.17,0.77
738073398,Ohio,6018667.97,8841358.53,0.68,7798851.70,2362391.66,0.71
59496661,Minnesota,3832936.22,6831165.85,0.56,8599498.98,7976375.15,0.94
128016348,Nevada,8991520.25,4722511.27,1.90,6429572.48,3056597.34,0.38
583487081,Alaska,9388192.89,2003596.05,4.69,5044150.00,7155142.86,0.60
969795269,Georgia,5060776.29,7422701.41,0.68,6075896.09,9551661.21,0.93
577556349,Montana,3964144.38,2481642.71,1.60,8437737.96,2208855.68,0.94
718630815,Nebraska,364571.93,5387269.44,0.07,1993176.19,2622022.85,0.77
867810023,Hawaii,1017188.84,6853938.16,0.15,4923386.31,5117778.48,0.18
893682132,Idaho,335109.66,2961283.23,0.11,45353.81,7192039.40,0.54
554426456,Florida,5421040.43,6097343.41,0.89,4910655.75,5727982.51,0.48
231346031,Wisconsin,9764842.17,1800108.43,5.42,5882162.20,4711072.04,0.36
385177513,Oklahoma,2874562.59,5915736.34,0.49,4362831.79,894675.76,0.42
371246546,Utah,6807143.59,2967564.51,2.29,4836053.03,7126089.27,0.27
688246608,Maine,5278499.34,314076.46,16.81,248792.60,6494446.81,0.45
726859166,Delaware,8654863.00,2592437.13,3.34,1021540.09,1063883.10,0.71
964198483,California,2481327.27,4266164.75,0.58,4356148.53,2128936.40,0.81
204330250,Missouri,8755570.14,7099637.59,1.23,2014726.53,7374300.48,0.48
851869570,Oregon,6593524.94,575782.32,11.45,5919375.48,1374923.58,0.84
113423030,Indiana,9686726.70,8884618.36,1.09,6527223.70,2526698.80,0.98
146026024,Mississippi,6138720.54,1638375.77,3.75,8404450.03,6002254.13,0.01
283051795,Wyoming,8592158.92,1797253.82,4.78,3987333.48,1476678.49,0.79
991670778,Colorado,6510722.53,1717226.69,3.79,4778579.45,1442926.40,0.67
693637421,Georgia,2249965.05,747209.60,3.01,741720.35,7395056.89,0.78
230956644,Delaware,7396400.86,9690296.74,0.76,7229179.93,7691837.60,0.24
225756565,Nebraska,352242.80,3791723.47,0.09,6711485.20,3842034.91,0.64
748509787,Vermont,2155894.10,5151705.61,0.42,9621107.99,7070152.10,0.00
646417278,Pennsylvania,9400093.75,8488042.34,1.11,3595071.73,9028883.23,0.22
282519694,Utah,774157.00,4361711.20,0.18,3443074.50,792884.41,0.10
209008779,Kentucky,6180333.23,3426905.26,1.80,6224477.96,2317995.78,0.62
815382300,Ohio,8669516.97,3406656.10,2.54,7441447.83,836075.22,0.92
230629136,Kentucky,7452735.76,4424563.43,1.68,8855482.64,5731091.05,0.97
188352732,Mississippi,3852244.20,8283004.94,0.47,8233155.63,3425242.18,0.04
685942306,Illinois,3798635.36,6052039.94,0.63,1701773.69,7136829.89,0.20
33974593,Illinois,8854099.15,7943544.67,1.11,3958967.90,4081533.75,0.16
859927939,Washington,8670431.73,2741526.54,3.16,4817523.75,290953.94,0.03
969141241,Virginia,3783716.00,4426970.16,0.85,9749507.16,4575771.84,0.28
622531895,Minnesota,3892986.22,841281.16,4.63,1825676.56,2596471.27,0.04
618918640,Kansas,5713456.35,1026002.93,5.57,1835214.60,3127505.30,0.03
268836657,Ohio,7737492.25,1552548.99,4.98,298345.81,7900690.14,0.07
624296026,Wyoming,916592.63,8859401.04,0.10,261210.74,6335465.94,0.24
935110512,Virginia,5852452.20,8844943.20,0.66,5081615.44,3882796.70,0.88
954314341,Alabama,7880800.97,7936572.14,0.99,836241.27,8745211.56,0.65
998540437,Connecticut,3353380.66,9431676.83,0.36,1534390.29,4470918.71,0.97
309283669,Texas,5880528.12,5733687.58,1.03,6287842.91,5046174.84,0.91
75392146,Wyoming,710267.60,874318.45,0.81,798010.47,4385707.07,0.09
16738273,Iowa,1999767.13,6761091.00,0.30,9833792.52,8098347.21,0.44
532000336,Texas,3345054.34,2137555.98,1.56,6073523.48,6013866.35,0.53
643911383,Florida,5812026.80,5470119.12,1.06,1505832.37,3990148.29,0.61
799356654,Pennsylvania,520926.49,1522013.76,0.34,8137118.03,5859510.55,0.43
215850259,Michigan,8470566.36,9421520.06,0.90,4207140.62,5806078.18,0.33
672275588,Kansas,2342791.47,9071070.65,0.26,9937903.33,5321899.78,0.77
71825185,Wyoming,1416456.39,4930341.43,0.29,2294657.66,1316662.43,0.72
588083876,Hawaii,5169385.47,2941415.20,1.76,7089473.24,2284929.72,0.20
417193170,Georgia,8038937.32,2090817.24,3.84,787998.32,2060402.72,0.26
814087320,Arizona,9976915.19,5974289.29,1.67,7333164.02,9688783.35,0.50
985335724,Mississippi,6908236.36,85764.67,80.55,8041823.79,1718029.35,0.46
155970309,Iowa,6979344.41,4298832.36,1.62,7450039.74,1366074.32,0.99
44870165,Nebraska,209062.65,5454255.77,0.04,5331075.13,7441771.21,0.69
71019164,Texas,7553862.24,107885.72,70.02,3967684.15,1846990.04,0.67
337583369,Delaware,6894559.08,4344394.36,1.59,4291352.46,1626835.52,0.93
760494501,Virginia,1223150.52,6223975.72,0.20,6417476.23,4857171.01,0.84
566063781,Minnesota,8429113.10,4414936.20,1.91,1160660.17,5554303.23,0.45
816659718,Oklahoma,6432629.49,3213137.32,2.00,5666894.49,2177162.36,0.38
930606728,Connecticut,734300.14,6785375.97,0.11,6606343.25,4483461.27,0.58
242400719,Virginia,2750975.40,7210270.19,0.38,8321671.90,8358307.28,0.57
331349200,Kansas,263416.27,4528783.77,0.06,6880777.14,2475313.30,0.48
324918771,Minnesota,5623335.44,3880318.65,1.45,4958962.72,6242624.14,0.40
921727124,Ohio,6474048.86,6553403.09,0.99,9479769.51,4507940.95,0.97
149258899,Massachusetts,3037444.15,26524.85,114.51,3503742.50,4199040.32,0.71
805975662,Indiana,4052631.14,2487827.35,1.63,4710447.14,3572147.46,0.58
704005295,Wisconsin,7118900.11,3443924.38,2.07,6504269.78,3549249.98,0.84
784250817,Kansas,7730167.19,4287713.79,1.80,3930488.83,2521108.40,0.08
25075867,Oregon,4182080.38,3510738.38,1.19,7518802.26,1438303.03,0.92
689088487,Oklahoma,4109760.64,4943215.28,0.83,227027.39,1274564.64,0.28
182271212,Maine,898487.79,5136039.85,0.17,8158020.84,5215743.94,0.18
