,EmployeeNumber,Age,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary_Calc,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked_capped,AnnualProfessionalDevHrs_capped,PaycheckMethod,TextMessageOptIn,Tenure_Calc_capped
5427,10105,54,Yes,97.26,40,Salary,202300.80000000002,160,Information Technology,Female,Married,15.5,12.0,Mailed Check,No,36
4815,10112,57,Yes,57.94,40,Salary,120515.2,468,Information Technology,Male,Married,9.0,4.0,Direct Deposit,No,25
620,10113,44,Yes,48.12,40,Salary,100089.59999999999,354,Human_Resources,Female,Single,3.0,17.0,Mailed Check,No,16
4442,10114,56,Yes,59.17,40,Salary,123073.6,199,Manufacturing,Female,Married,9.0,18.0,Direct Deposit,No,12
1385,10115,62,No,76.43,40,Salary,158974.40000000002,110,Information_Technology,Male,Divorced,6.0,20.0,Mailed Check,No,25
5196,10122,37,Yes,41.39,40,Salary,86091.2,440,Sales,Female,Married,1.0,6.0,Mailed Check,Yes,9
3978,10126,63,No,83.97,40,Salary,174657.6,426,Manufacturing,Female,Married,6.0,9.0,Direct Deposit,Yes,5
2006,10131,63,Yes,35.39,40,Salary,73611.2,446,Information Technology,Male,Married,6.0,9.0,Mailed Check,Yes,35
2331,10132,39,Yes,24.78,40,Salary,51542.4,26,Research,Male,Single,9.0,5.0,Mailed Check,Yes,1
2680,10141,42,No,83.12,40,Salary,172889.6,486,Healthcare,Female,Single,8.0,10.0,Mailed Check,Yes,21
12448,10145,24,No,35.08,40,Salary,72966.4,275,Information_Technology,Male,Single,15.5,16.0,Direct Deposit,Yes,0
4986,10150,57,No,18.4,40,Salary,38272.0,265,Human_Resources,Female,Married,15.5,22.0,Direct Deposit,Yes,7
2633,10163,24,No,20.19,40,Salary,41995.200000000004,488,Information Technology,Male,Divorced,4.0,20.0,Mailed Check,No,16
3245,10165,62,No,79.24,40,Salary,164819.19999999998,405,Laboratory,Prefer Not to Answer,Married,9.0,25.0,Mailed Check,Yes,23
5738,10171,46,Yes,35.85,40,Salary,74568.0,263,Healthcare,Female,Single,3.0,17.0,Direct Deposit,No,16
12450,10172,62,No,92.79,40,Salary,193003.2,397,Sales,Male,Single,4.0,20.0,Mailed Check,No,15
5373,10173,55,Yes,98.84,40,Salary,205587.2,88,HumanResources,Prefer Not to Answer,Married,4.0,20.0,Direct Deposit,Yes,28
3417,10176,18,Yes,33.56,40,Salary,69804.8,78,Information_Technology,Prefer Not to Answer,Single,5.0,9.0,Direct Deposit,Yes,0
2942,10180,62,Yes,73.69,40,Salary,153275.19999999998,344,Human_Resources,Prefer Not to Answer,Married,5.0,25.0,Mailed Check,Yes,21
951,10187,38,Yes,26.65,40,Salary,55432.0,28,Sales,Female,Divorced,5.0,1.0,Mailed Check,No,17
1788,10191,35,No,98.33,40,Salary,204526.4,460,Information Technology,Male,Single,9.0,7.0,Mailed Check,No,10
3546,10193,54,No,51.0,40,Salary,106080.0,92,Laboratory,Female,Divorced,9.0,4.0,Mailed Check,Yes,34
1994,10197,42,Yes,97.64,40,Salary,203091.19999999998,306,Marketing,Prefer Not to Answer,Married,3.0,22.0,Mailed Check,Yes,7
12299,10205,55,Yes,71.23,40,Salary,148158.40000000002,300,Human Resources,Prefer Not to Answer,Single,8.0,7.0,Mailed Check,No,17
4998,10208,55,No,41.02,40,Salary,85321.6,485,Information_Technology,Female,Married,9.0,4.0,Direct Deposit,No,27
1443,10215,33,No,99.43,40,Salary,206814.40000000002,152,Sales,Prefer Not to Answer,Divorced,6.0,16.0,Direct Deposit,Yes,0
4959,10220,58,Yes,28.69,40,Salary,59675.200000000004,351,HumanResources,Male,Single,2.0,18.0,Direct Deposit,No,36
803,10221,65,No,73.72,40,Salary,153337.6,340,Human Resources,Female,Single,2.0,39.5,Mailed Check,Yes,3
4042,10223,55,Yes,76.35,40,Salary,158808.0,495,Information Technology,Male,Married,3.0,22.0,Direct Deposit,Yes,23
2631,10225,22,No,21.47,40,Salary,44657.6,384,Healthcare,Male,Divorced,6.0,9.0,Mailed Check,Yes,1
4230,10226,61,Yes,18.99,40,Salary,39499.2,67,Information Technology,Prefer Not to Answer,Married,1.0,13.0,Direct Deposit,No,37
5912,10234,21,Yes,39.64,40,Salary,82451.2,230,InformationTechnology,Prefer Not to Answer,Divorced,7.0,20.0,Direct Deposit,No,8
12066,10237,37,Yes,63.54,40,Salary,132163.19999999998,22,Sales,Prefer Not to Answer,Divorced,9.0,9.0,Direct Deposit,No,15
1310,10238,39,No,25.28,40,Salary,52582.4,113,InformationTechnology,Prefer Not to Answer,Divorced,4.0,17.0,Mailed Check,No,19
5160,10239,44,No,61.2,40,Salary,127296.0,172,Information Technology,Female,Single,4.0,12.0,Direct Deposit,No,21
5666,10241,56,Yes,98.84,40,Salary,205587.2,31,InformationTechnology,Male,Married,5.0,18.0,Mailed Check,No,36
743,10242,49,No,57.45,40,Salary,119496.0,92,Manufacturing,Male,Married,7.0,9.0,Mailed Check,No,8
3681,10243,50,No,49.62,40,Salary,103209.59999999999,343,Information_Technology,Female,Single,9.0,12.0,Direct Deposit,No,6
5225,10245,51,No,83.69,40,Salary,174075.19999999998,354,Human Resources,Male,Single,8.0,3.0,Mailed Check,Yes,14
441,10247,34,No,39.92,40,Salary,83033.6,292,Human Resources,Male,Single,6.0,11.0,Mailed Check,Yes,1
12010,10248,48,No,75.26,40,Salary,156540.80000000002,133,Information Technology,Male,Divorced,9.0,19.0,Mailed Check,No,3
4790,10250,58,No,86.24,40,Salary,179379.19999999998,164,Research,Prefer Not to Answer,Divorced,4.0,7.0,Mailed Check,Yes,9
5654,10252,33,Yes,39.46,40,Salary,82076.8,261,Marketing,Prefer Not to Answer,Divorced,2.0,20.0,Direct Deposit,No,0
1890,10253,42,Yes,89.6,40,Salary,186368.0,37,Healthcare,Female,Divorced,2.0,6.0,Direct Deposit,No,18
1723,10257,18,No,86.02,40,Salary,178921.59999999998,60,Research,Female,Single,5.0,7.0,Mailed Check,Yes,0
4142,10260,38,No,48.12,40,Salary,100089.59999999999,211,Information Technology,Prefer Not to Answer,Divorced,7.0,2.0,Mailed Check,No,9
5403,10262,59,Yes,31.98,40,Salary,66518.40000000001,101,Human Resources,Female,Single,4.0,5.0,Mailed Check,Yes,7
2673,10265,30,Yes,45.2,40,Salary,94016.0,465,Human Resources,Female,Married,1.0,21.0,Mailed Check,No,0
2569,10266,24,No,88.09,40,Salary,183227.2,302,Information Technology,Male,Divorced,15.5,13.0,Direct Deposit,Yes,0
12108,10267,59,No,98.84,40,Salary,205587.2,196,Information Technology,Prefer Not to Answer,Married,6.0,5.0,Direct Deposit,No,24
12183,10268,22,No,81.35,40,Salary,169208.0,429,Laboratory,Prefer Not to Answer,Divorced,4.0,13.0,Mailed Check,No,0
2685,10271,64,Yes,76.5,40,Salary,159120.0,450,HumanResources,Prefer Not to Answer,Married,4.0,13.0,Direct Deposit,No,29
4643,10277,46,No,91.04,40,Salary,189363.2,357,Healthcare,Female,Single,7.0,2.0,Mailed Check,Yes,14
1049,10286,27,Yes,18.7,40,Salary,38896.0,44,Sales,Female,Married,4.0,20.0,Mailed Check,Yes,2
13196,10291,33,Yes,86.29,40,Salary,179483.2,356,Information Technology,Prefer Not to Answer,Divorced,9.0,39.5,Direct Deposit,No,5
1574,10292,48,No,76.68,40,Salary,159494.40000000002,409,Sales,Female,Single,4.0,13.0,Mailed Check,Yes,3
12694,10293,51,No,17.42,40,Salary,36233.600000000006,147,InformationTechnology,Female,Married,15.5,9.0,Mailed Check,Yes,3
12177,10295,56,Yes,63.74,40,Salary,132579.19999999998,413,Marketing,Prefer Not to Answer,Divorced,9.0,10.0,Direct Deposit,No,24
5593,10299,53,No,85.59,40,Salary,178027.2,64,Marketing,Prefer Not to Answer,Married,6.0,8.0,Mailed Check,No,11
5951,10302,56,Yes,44.14,40,Salary,91811.2,93,Information_Technology,Prefer Not to Answer,Divorced,5.0,16.0,Mailed Check,No,6
566,10304,58,No,45.2,40,Salary,94016.0,68,Research,Male,Single,15.5,23.0,Mailed Check,No,15
2047,10310,45,Yes,39.66,40,Salary,82492.79999999999,5,Healthcare,Female,Married,6.0,15.0,Direct Deposit,No,11
230,10311,54,No,27.54,40,Salary,57283.2,361,Marketing,Female,Married,5.0,22.0,Mailed Check,Yes,34
2043,10312,22,Yes,70.33,40,Salary,146286.4,287,Research,Prefer Not to Answer,Married,8.0,6.0,Direct Deposit,Yes,0
1536,10314,49,Yes,24.57,40,Salary,51105.6,27,InformationTechnology,Male,Divorced,5.0,13.0,Mailed Check,Yes,6
1854,10318,41,Yes,55.28,40,Salary,114982.4,454,Laboratory,Female,Divorced,1.0,2.0,Mailed Check,Yes,10
4279,10322,62,Yes,55.33,40,Salary,115086.4,456,InformationTechnology,Male,Divorced,9.0,21.0,Mailed Check,No,31
12667,10323,19,No,55.93,40,Salary,116334.4,273,Human Resources,Prefer Not to Answer,Single,15.5,13.0,Mailed Check,No,0
1557,10328,62,Yes,34.56,40,Salary,71884.8,380,HumanResources,Female,Married,6.0,6.0,Mailed Check,Yes,9
3364,10332,20,No,90.7,40,Salary,188656.0,460,Information_Technology,Male,Single,15.5,39.5,Direct Deposit,No,11
269,10337,65,No,26.51,40,Salary,55140.8,242,Information_Technology,Prefer Not to Answer,Single,8.0,16.0,Mailed Check,Yes,20
5055,10342,43,No,50.4,40,Salary,104832.0,416,Manufacturing,Prefer Not to Answer,Divorced,1.0,25.0,Direct Deposit,No,6
818,10343,54,Yes,70.61,40,Salary,146868.80000000002,482,Human_Resources,Male,Married,2.0,23.0,Direct Deposit,Yes,11
5581,10350,55,No,19.59,40,Salary,40747.200000000004,51,Human Resources,Female,Single,5.0,19.0,Mailed Check,No,6
2416,10354,36,Yes,27.84,40,Salary,57907.2,114,Sales,Female,Married,8.0,16.0,Mailed Check,No,0
1858,10356,33,Yes,70.19,40,Salary,145995.19999999998,100,Manufacturing,Female,Single,4.0,2.0,Mailed Check,Yes,15
1082,10357,52,Yes,99.56,40,Salary,207084.80000000002,102,Information Technology,Prefer Not to Answer,Divorced,7.0,12.0,Mailed Check,No,10
2429,10359,29,No,87.84,40,Salary,182707.2,167,Manufacturing,Male,Single,4.0,14.0,Mailed Check,No,0
4300,10360,38,No,28.11,40,Salary,58468.8,174,Sales,Prefer Not to Answer,Married,8.0,9.0,Mailed Check,No,9
1335,10365,53,Yes,85.96,40,Salary,178796.8,127,Research,Prefer Not to Answer,Single,3.0,1.0,Mailed Check,No,35
5922,10367,51,Yes,61.95,40,Salary,128856.0,335,Human_Resources,Prefer Not to Answer,Divorced,3.0,25.0,Mailed Check,Yes,4
5856,10370,38,Yes,93.28,40,Salary,194022.4,266,Human Resources,Female,Divorced,5.0,24.0,Mailed Check,No,0
1665,10371,52,Yes,41.81,40,Salary,86964.8,321,Information Technology,Prefer Not to Answer,Divorced,2.0,20.0,Mailed Check,No,14
3128,10372,39,No,61.82,40,Salary,128585.6,318,InformationTechnology,Male,Divorced,5.0,20.0,Direct Deposit,No,18
3196,10373,28,Yes,39.67,40,Salary,82513.6,46,Sales,Male,Married,4.0,10.0,Mailed Check,No,8
3185,10374,37,Yes,82.09,40,Salary,170747.2,449,Healthcare,Prefer Not to Answer,Divorced,1.0,6.0,Direct Deposit,No,18
5830,10376,55,No,27.82,40,Salary,57865.6,31,InformationTechnology,Prefer Not to Answer,Single,7.0,16.0,Direct Deposit,Yes,18
1818,10377,63,No,37.38,40,Salary,77750.40000000001,386,Marketing,Male,Single,15.5,16.0,Mailed Check,No,37
4568,10378,35,No,82.61,40,Salary,171828.80000000002,355,Healthcare,Female,Divorced,2.0,25.0,Direct Deposit,No,14
2913,10379,21,No,84.78,40,Salary,176342.4,74,Human Resources,Male,Divorced,4.0,1.0,Direct Deposit,No,0
1506,10381,25,Yes,31.5,40,Salary,65520.0,160,Sales,Female,Married,2.0,20.0,Mailed Check,No,9
12371,10384,44,No,78.63,40,Salary,163550.4,209,Information_Technology,Female,Divorced,6.0,22.0,Mailed Check,Yes,6
923,10386,53,Yes,69.55,40,Salary,144664.0,56,Laboratory,Female,Divorced,5.0,8.0,Mailed Check,No,23
1860,10391,26,No,45.4,40,Salary,94432.0,286,Information_Technology,Prefer Not to Answer,Married,6.0,25.0,Mailed Check,No,8
3143,10397,36,Yes,83.42,40,Salary,173513.6,91,Human_Resources,Female,Married,3.0,25.0,Mailed Check,No,14
3843,10399,52,No,64.96,40,Salary,135116.8,109,Human_Resources,Prefer Not to Answer,Married,8.0,22.0,Direct Deposit,No,19
3206,10404,53,No,47.11,40,Salary,97988.8,188,Research,Male,Single,4.0,4.0,Direct Deposit,No,12
1191,10409,65,No,65.21,40,Salary,135636.8,47,Laboratory,Female,Divorced,4.0,3.0,Direct Deposit,No,3
2198,10413,52,No,24.09,40,Salary,50107.200000000004,252,Laboratory,Female,Divorced,3.0,1.0,Mailed Check,No,5
12128,10414,33,Yes,73.4,40,Salary,152672.0,99,HumanResources,Prefer Not to Answer,Married,3.0,23.0,Mailed Check,Yes,9
1095,10415,37,No,54.1,40,Salary,112528.0,70,Healthcare,Female,Single,15.5,19.0,Direct Deposit,No,14
4871,10416,55,No,86.8,40,Salary,180544.0,39,Healthcare,Prefer Not to Answer,Married,8.0,14.0,Mailed Check,No,35
12057,10421,37,No,48.41,40,Salary,100692.79999999999,40,HumanResources,Female,Divorced,15.5,15.0,Direct Deposit,Yes,0
1845,10423,21,No,45.47,40,Salary,94577.59999999999,148,InformationTechnology,Female,Married,5.0,1.0,Direct Deposit,Yes,9
2926,10424,64,No,58.22,40,Salary,121097.6,231,Information Technology,Male,Married,5.0,4.0,Mailed Check,No,24
4632,10425,50,Yes,50.96,40,Salary,105996.8,300,Marketing,Female,Divorced,1.0,17.0,Direct Deposit,Yes,9
3080,10430,60,No,98.61,40,Salary,205108.80000000002,238,Sales,Prefer Not to Answer,Married,4.0,9.0,Mailed Check,Yes,5
1486,10433,59,Yes,70.63,40,Salary,146910.4,100,Healthcare,Prefer Not to Answer,Divorced,7.0,23.0,Direct Deposit,No,31
3669,10434,29,No,91.51,40,Salary,190340.80000000002,288,Human Resources,Male,Divorced,1.0,15.0,Mailed Check,Yes,1
968,10442,23,Yes,67.54,40,Salary,140483.2,103,HumanResources,Male,Divorced,1.0,10.0,Mailed Check,No,3
3587,10443,64,Yes,74.68,40,Salary,155334.40000000002,137,Manufacturing,Prefer Not to Answer,Single,2.0,19.0,Mailed Check,Yes,8
2460,10444,57,Yes,54.82,40,Salary,114025.6,173,InformationTechnology,Male,Married,7.0,21.0,Mailed Check,No,30
5823,10446,55,No,29.85,40,Salary,62088.0,98,Information_Technology,Male,Single,7.0,15.0,Mailed Check,No,21
5261,10451,59,No,90.19,40,Salary,187595.19999999998,438,Information_Technology,Male,Single,7.0,24.0,Mailed Check,Yes,27
2221,10453,49,No,51.87,40,Salary,107889.59999999999,316,Information_Technology,Female,Single,8.0,16.0,Direct Deposit,No,24
2698,10454,31,Yes,85.22,40,Salary,177257.6,223,Human Resources,Male,Single,5.0,25.0,Direct Deposit,No,0
4083,10456,44,Yes,71.16,40,Salary,148012.8,251,Research,Prefer Not to Answer,Married,15.5,13.0,Mailed Check,Yes,4
2735,10457,60,No,58.53,40,Salary,121742.4,315,Marketing,Prefer Not to Answer,Divorced,9.0,6.0,Mailed Check,No,33
2216,10460,37,No,34.97,40,Salary,72737.59999999999,300,Human Resources,Male,Married,2.0,11.0,Direct Deposit,No,0
786,10462,37,Yes,65.49,40,Salary,136219.19999999998,383,HumanResources,Female,Single,8.0,3.0,Direct Deposit,No,16
1314,10463,52,No,52.09,40,Salary,108347.20000000001,164,Human_Resources,Male,Divorced,15.5,5.0,Direct Deposit,No,11
1556,10464,61,No,90.47,40,Salary,188177.6,39,Information_Technology,Female,Married,3.0,13.0,Mailed Check,No,26
4893,10473,61,No,49.95,40,Salary,103896.0,28,Marketing,Male,Divorced,7.0,19.0,Mailed Check,Yes,11
4583,10475,38,Yes,81.47,40,Salary,169457.6,139,InformationTechnology,Prefer Not to Answer,Married,7.0,10.0,Direct Deposit,No,0
2527,10477,58,Yes,21.86,40,Salary,45468.799999999996,478,Laboratory,Female,Divorced,4.0,8.0,Direct Deposit,Yes,32
2464,10481,52,Yes,18.09,40,Salary,37627.200000000004,17,Healthcare,Male,Single,3.0,19.0,Mailed Check,Yes,6
2776,10490,57,Yes,27.3,40,Salary,56784.0,480,Laboratory,Prefer Not to Answer,Married,3.0,19.0,Mailed Check,No,17
2740,10493,50,Yes,28.6,40,Salary,59488.0,461,Marketing,Male,Single,2.0,7.0,Mailed Check,No,7
12756,10494,29,Yes,20.53,40,Salary,42702.4,34,Research,Prefer Not to Answer,Married,7.0,16.0,Direct Deposit,No,11
5554,10497,20,Yes,69.7,40,Salary,144976.0,142,Laboratory,Female,Divorced,6.0,8.0,Mailed Check,Yes,0
2362,10499,35,Yes,42.35,40,Salary,88088.0,497,InformationTechnology,Male,Married,2.0,5.0,Mailed Check,No,9
2426,10501,41,Yes,57.82,40,Salary,120265.6,352,Manufacturing,Prefer Not to Answer,Divorced,9.0,15.0,Direct Deposit,No,22
984,10504,60,No,84.55,40,Salary,175864.0,45,Manufacturing,Prefer Not to Answer,Married,8.0,16.0,Mailed Check,No,10
5749,10522,42,Yes,73.55,40,Salary,152984.0,63,Laboratory,Female,Married,2.0,11.0,Direct Deposit,No,23
4366,10524,45,No,84.06,40,Salary,174844.80000000002,436,Research,Prefer Not to Answer,Married,5.0,4.0,Direct Deposit,No,8
3650,10527,31,No,70.74,40,Salary,147139.19999999998,220,Manufacturing,Prefer Not to Answer,Divorced,15.5,12.0,Mailed Check,Yes,0
4413,10530,25,Yes,94.22,40,Salary,195977.6,69,Research,Female,Married,8.0,2.0,Mailed Check,No,0
12677,10535,32,Yes,47.68,40,Salary,99174.40000000001,39,HumanResources,Male,Married,7.0,12.0,Mailed Check,No,0
12513,10538,38,Yes,26.36,40,Salary,54828.8,249,Human_Resources,Female,Single,8.0,14.0,Direct Deposit,No,5
4258,10539,56,Yes,43.99,40,Salary,91499.20000000001,230,Healthcare,Prefer Not to Answer,Divorced,15.5,12.0,Direct Deposit,No,13
1906,10540,32,Yes,42.74,40,Salary,88899.20000000001,337,InformationTechnology,Male,Married,5.0,3.0,Mailed Check,No,2
4058,10544,32,No,57.31,40,Salary,119204.8,28,Human_Resources,Male,Divorced,7.0,4.0,Mailed Check,No,14
4605,10548,42,Yes,30.81,40,Salary,64084.799999999996,287,Manufacturing,Male,Divorced,4.0,13.0,Mailed Check,No,16
3007,10549,28,Yes,66.97,40,Salary,139297.6,216,Human_Resources,Prefer Not to Answer,Divorced,5.0,2.0,Mailed Check,Yes,1
1413,10550,28,Yes,93.9,40,Salary,195312.0,69,Research,Prefer Not to Answer,Single,5.0,17.0,Mailed Check,No,0
2445,10559,44,No,24.52,40,Salary,51001.6,259,Manufacturing,Female,Married,5.0,18.0,Mailed Check,No,3
1999,10561,62,Yes,64.7,40,Salary,134576.0,137,Information_Technology,Male,Divorced,4.0,16.0,Direct Deposit,No,16
4577,10566,32,No,40.49,40,Salary,84219.20000000001,214,Marketing,Female,Divorced,3.0,11.0,Mailed Check,No,2
77,10570,32,No,49.51,40,Salary,102980.79999999999,454,Sales,Prefer Not to Answer,Single,7.0,19.0,Direct Deposit,No,2
3216,10572,41,No,54.29,40,Salary,112923.2,452,Laboratory,Prefer Not to Answer,Single,9.0,19.0,Mailed Check,Yes,0
5412,10585,60,Yes,76.49,40,Salary,159099.19999999998,74,Information_Technology,Female,Divorced,4.0,25.0,Mailed Check,No,5
1914,10595,62,Yes,40.54,40,Salary,84323.2,434,Information Technology,Prefer Not to Answer,Divorced,7.0,13.0,Mailed Check,No,6
12704,10600,55,No,99.06,40,Salary,206044.80000000002,161,Human Resources,Prefer Not to Answer,Single,2.0,2.0,Mailed Check,No,34
628,10601,55,Yes,64.37,40,Salary,133889.6,394,Healthcare,Male,Single,2.0,23.0,Mailed Check,No,19
883,10604,20,No,67.5,40,Salary,140400.0,223,Laboratory,Male,Divorced,7.0,24.0,Mailed Check,Yes,0
103,10605,35,No,51.99,40,Salary,108139.2,446,InformationTechnology,Female,Married,9.0,22.0,Direct Deposit,No,6
3344,10606,44,Yes,46.58,40,Salary,96886.4,252,Marketing,Male,Divorced,7.0,12.0,Direct Deposit,No,16
3850,10609,28,Yes,24.76,40,Salary,51500.8,167,Research,Prefer Not to Answer,Married,5.0,8.0,Mailed Check,No,4
4121,10620,21,No,30.64,40,Salary,63731.2,110,Manufacturing,Prefer Not to Answer,Single,8.0,22.0,Direct Deposit,No,0
2168,10621,44,No,48.22,40,Salary,100297.59999999999,297,Marketing,Female,Divorced,6.0,3.0,Mailed Check,No,8
662,10623,42,No,44.51,40,Salary,92580.79999999999,252,Healthcare,Prefer Not to Answer,Single,6.0,23.0,Direct Deposit,Yes,4
306,10627,41,No,20.03,40,Salary,41662.4,318,Information Technology,Prefer Not to Answer,Single,9.0,21.0,Direct Deposit,Yes,11
12225,10628,62,Yes,84.72,40,Salary,176217.6,347,Information_Technology,Male,Married,6.0,11.0,Mailed Check,No,25
2005,10629,51,Yes,73.07,40,Salary,151985.59999999998,486,Manufacturing,Female,Single,7.0,12.0,Direct Deposit,No,6
12276,10635,62,No,44.5,40,Salary,92560.0,98,InformationTechnology,Male,Married,2.0,25.0,Mailed Check,No,20
2352,10639,33,No,77.69,40,Salary,161595.19999999998,217,Human_Resources,Prefer Not to Answer,Married,15.5,23.0,Mailed Check,No,1
1301,10641,52,Yes,27.47,40,Salary,57137.6,451,Marketing,Prefer Not to Answer,Divorced,15.5,18.0,Direct Deposit,No,26
648,10647,19,No,79.5,40,Salary,165360.0,484,HumanResources,Prefer Not to Answer,Married,1.0,2.0,Mailed Check,No,0
1882,10648,61,Yes,58.37,40,Salary,121409.59999999999,106,Human_Resources,Prefer Not to Answer,Single,8.0,17.0,Mailed Check,Yes,25
1613,10649,50,No,58.12,40,Salary,120889.59999999999,359,InformationTechnology,Prefer Not to Answer,Single,6.0,10.0,Mailed Check,Yes,6
3616,10654,26,No,70.79,40,Salary,147243.2,10,Human Resources,Female,Married,3.0,7.0,Mailed Check,No,0
752,10655,39,Yes,37.83,40,Salary,78686.4,496,Manufacturing,Prefer Not to Answer,Divorced,2.0,4.0,Direct Deposit,Yes,3
12176,10656,50,No,23.65,40,Salary,49192.0,134,Sales,Male,Married,4.0,8.0,Direct Deposit,Yes,11
3903,10662,62,No,69.54,40,Salary,144643.2,308,Sales,Male,Divorced,1.0,8.0,Mailed Check,No,1
3962,10664,56,No,96.22,40,Salary,200137.6,256,Marketing,Female,Divorced,15.5,11.0,Mailed Check,Yes,34
5574,10668,21,No,54.64,40,Salary,113651.2,91,Manufacturing,Prefer Not to Answer,Divorced,8.0,13.0,Direct Deposit,No,0
4781,10670,28,Yes,98.09,40,Salary,204027.2,68,Human_Resources,Female,Married,15.5,16.0,Mailed Check,Yes,0
1375,10674,40,No,89.68,40,Salary,186534.40000000002,265,Sales,Prefer Not to Answer,Divorced,8.0,3.0,Mailed Check,No,16
