,SquareFootage_capped,BackyardSpace_capped,CrimeRate_capped,AgeOfHome_capped,DistanceToCityCenter_capped,EmploymentRate_capped,PropertyTaxRate_capped,SchoolRating_Encoded,Fireplace_Encoded,Garage_Encoded
1329,2220.0,638.0,22.5,33.0,18.4,91.7,1.73,2.0,0,1
8204,2915.0,978.0,53.7,15.0,0.8,89.6,1.14,1.0,1,0
1684,2232.0,1332.0,38.2,10.0,11.9,88.4,1.5,2.0,0,1
8675,2253.0,1027.0,52.6,3.0,2.0,91.0,2.3449999999999998,2.0,1,0
5795,1377.0,324.0,31.4,11.0,0.8,92.9,1.68,2.0,0,1
1777,1080.0,200.0,62.1,1.0,5.0,93.6,1.44,2.0,0,1
2918,1447.0,316.0,8.5,1.0,23.55,89.1,1.6,2.0,1,1
751,2926.0,902.0,18.8,32.0,13.9,95.9,1.51,2.0,0,1
4292,1383.0,1218.0,23.5,0.0,0.9,94.6,0.96,2.0,1,1
3317,1282.0,486.0,56.3,46.0,2.6,86.2,1.53,2.0,1,1
5627,1324.0,709.0,42.0,26.0,7.7,88.1,1.8,2.0,0,1
4856,1484.0,986.0,44.0,13.0,18.6,93.8,1.6,2.0,0,1
476,1063.0,200.0,10.2,45.0,3.3,88.9,1.45,2.0,0,1
6275,1583.0,228.0,4.4,41.0,5.5,96.7,1.1,2.0,0,0
3708,1837.0,662.0,3.7,18.0,8.5,94.9,1.52,1.0,1,1
3007,1863.0,853.0,16.1,9.0,9.9,92.9,1.85,2.0,1,1
211,1819.0,223.0,27.8,74.5,10.7,91.2,1.08,2.0,0,1
468,2334.0,969.0,30.6,15.0,1.0,99.0,1.59,1.0,0,1
1545,3132.0,1308.0,15.7,74.5,6.7,92.3,1.27,2.0,0,1
7329,1469.0,1185.0,50.5,70.0,6.3,91.3,0.55,2.0,1,0
6111,1087.0,761.0,11.1,13.0,9.8,93.6,0.91,2.0,0,0
8649,2159.0,437.0,32.3,38.0,18.3,97.7,1.54,2.0,1,0
6014,3566.625,1350.0,5.4,41.0,13.3,85.5,1.61,2.0,0,0
7713,1540.0,541.0,32.4,3.0,7.2,98.1,1.63,2.0,1,0
3312,1693.0,822.0,40.5,7.0,5.4,92.4,0.83,2.0,1,1
1025,1927.0,1433.0,19.0,1.0,9.6,90.4,1.21,2.0,0,1
3256,1558.0,200.0,19.9,5.0,20.3,90.8,1.52,2.0,1,1
6267,2094.0,1217.0,40.1,61.0,16.7,93.1,1.29,2.0,0,0
5716,2126.0,1434.0,23.8,10.0,4.4,94.5,0.72,2.0,0,1
8542,2719.0,236.0,31.0,32.0,0.8,94.0,1.64,2.0,1,0
1470,2560.0,1102.0,20.0,31.0,8.9,94.1,1.79,2.0,0,1
3684,1634.0,874.0,40.1,34.0,10.8,96.6,1.11,2.0,1,1
7070,1456.0,545.0,68.2,1.0,7.0,86.8,1.4,2.0,0,0
7258,830.0,200.0,29.0,2.0,9.8,99.0,1.54,2.0,1,0
5786,2129.0,900.0,16.6,2.0,9.6,85.7,1.53,2.0,0,1
773,1332.0,200.0,13.5,1.0,1.3,95.8,1.87,2.0,0,1
1954,1781.0,691.0,12.7,5.0,14.3,90.6,1.85,2.0,0,1
2883,2285.0,1654.0,18.8,16.0,9.0,93.0,1.24,1.0,1,1
2199,1726.0,387.0,34.5,15.0,11.1,90.1,1.63,2.0,0,1
5965,1681.0,944.0,6.3,3.0,7.5,92.6,1.27,2.0,0,1
641,1693.0,573.0,23.9,51.0,11.0,92.3,1.11,2.0,0,1
3055,1520.0,863.0,73.6625,4.0,5.7,92.2,1.13,2.0,1,1
196,2033.0,230.0,16.7,8.0,9.1,88.5,1.44,2.0,0,1
7097,1352.0,745.0,37.6,25.0,13.1,94.4,1.07,2.0,0,0
1155,1764.0,981.0,33.7,29.0,4.2,96.7,1.4,2.0,0,1
1144,2687.0,1188.0,18.5,23.0,6.0,91.3,1.36,2.0,0,1
7165,1874.0,482.0,39.0,38.0,15.2,98.0,1.57,2.0,0,0
1108,1914.0,1099.0,40.0,27.0,0.7,93.7,1.94,2.0,0,1
6725,3462.0,926.0,11.9,24.0,15.1,97.8,1.1,2.0,0,0
7288,1855.0,1061.0,23.9,35.0,19.3,90.4,1.38,2.0,1,0
1420,2882.0,729.0,37.3,13.0,13.0,98.0,1.61,2.0,0,1
6532,3566.625,1284.0,24.5,2.0,0.5,93.3,1.44,1.0,0,0
5648,2354.0,695.0,13.4,4.0,11.9,89.4,1.22,2.0,0,1
3859,2671.0,837.0,22.2,23.0,12.9,90.0,2.19,2.0,1,1
2968,1591.0,638.0,38.3,54.0,2.7,91.4,1.14,2.0,1,1
7029,2462.0,822.0,39.7,11.0,2.3,93.3,1.08,2.0,0,0
3857,2283.0,835.0,7.3,4.0,12.9,83.54999999999998,1.1,2.0,1,1
1758,1117.0,613.0,24.6,2.0,4.6,88.8,0.53,2.0,0,1
957,2550.0,416.0,21.3,48.0,11.4,94.3,1.35,2.0,0,1
6885,2893.0,880.0,30.7,5.0,21.3,94.8,0.68,2.0,0,0
1680,905.0,634.0,14.4,19.0,8.0,95.7,0.84,1.0,0,1
5414,1442.0,469.0,46.3,4.0,3.9,90.4,1.67,2.0,0,1
633,1637.0,200.0,22.2,19.0,4.9,88.6,1.31,2.0,0,1
3133,2084.0,1032.0,18.7,22.0,4.8,93.7,1.3,2.0,1,1
2884,3029.0,1273.0,33.9,16.0,14.1,89.6,1.88,2.0,1,1
4997,1506.0,679.0,15.6,16.0,13.7,95.9,1.57,2.0,0,1
1261,1128.0,638.0,41.0,3.0,9.4,94.7,1.74,2.0,0,1
118,2906.0,1025.0,9.0,74.5,9.4,92.3,1.21,2.0,0,1
6558,1527.0,253.0,18.8,15.0,1.4,91.1,1.7,2.0,0,0
8350,1763.0,357.0,33.4,0.0,5.2,91.3,1.5,1.0,1,0
7961,1729.0,570.0,45.7,10.0,1.9,93.5,1.21,2.0,1,0
4965,2339.0,342.0,15.6,2.0,4.2,95.1,1.39,2.0,0,1
3090,2607.0,1212.0,26.3,18.0,4.1,97.1,1.45,2.0,1,1
8247,1475.0,641.0,54.4,12.0,5.9,94.4,1.41,2.0,1,0
4657,1371.0,616.0,15.0,12.0,23.55,97.7,1.72,1.0,0,1
5030,1220.0,891.0,4.3,9.0,5.8,91.7,1.15,1.0,0,1
8217,2591.0,1543.0,24.4,24.0,3.6,97.8,1.35,2.0,1,0
7462,1974.0,226.0,7.7,74.5,6.0,93.3,1.49,2.0,1,0
5281,2009.0,763.0,14.8,15.0,3.4,93.7,1.25,2.0,0,1
2446,1597.0,200.0,33.1,25.0,2.5,96.1,0.9,2.0,0,1
5316,1887.0,754.0,38.1,15.0,12.2,94.3,1.38,2.0,0,1
3880,1631.0,1206.0,29.2,11.0,3.6,97.6,1.8,2.0,1,1
7765,1216.0,357.0,14.2,3.0,11.9,91.9,1.81,2.0,1,0
2131,1575.0,200.0,44.4,2.0,12.0,94.1,0.98,2.0,0,1
1172,2982.0,674.0,39.0,14.0,3.8,94.3,1.66,2.0,0,1
6739,1814.0,953.0,55.0,74.5,1.5,96.9,1.45,2.0,0,0
5058,1530.0,310.0,5.5,37.0,12.3,94.2,0.73,2.0,0,1
3658,1688.0,861.0,24.7,16.0,3.5,94.5,0.69,2.0,1,1
7856,1612.0,1283.0,31.6,74.5,10.1,89.5,1.92,2.0,1,0
7915,1126.0,200.0,14.1,1.0,5.6,97.3,1.39,2.0,1,0
92,1100.0,647.0,66.6,30.0,18.8,96.2,1.58,2.0,0,1
3626,1517.0,1039.0,34.0,0.0,5.1,96.8,1.7,2.0,1,1
5140,1854.0,591.0,51.9,41.0,6.0,96.7,1.57,2.0,0,1
5785,2097.0,977.0,33.9,54.0,3.5,86.2,1.98,2.0,0,1
5152,2326.0,841.0,57.0,74.5,13.8,93.9,1.22,1.0,0,1
5216,1693.0,863.0,23.6,26.0,15.2,92.5,1.22,2.0,0,1
2210,1885.0,329.0,34.4,48.0,18.2,99.0,1.65,2.0,0,1
4825,1437.0,504.0,43.4,47.0,4.6,95.9,1.38,2.0,0,1
6274,2519.0,1430.0,21.4,13.0,4.9,94.2,1.78,2.0,0,0
3734,1734.0,681.0,11.9,19.0,8.7,98.1,1.45,2.0,1,1
7548,1404.0,754.0,21.8,38.0,3.3,95.0,1.64,2.0,1,0
8914,2255.0,1196.0,30.4,19.0,2.0,96.3,1.04,2.0,1,0
6713,889.0,200.0,14.5,34.0,0.9,84.4,1.86,2.0,0,0
8540,1147.0,525.0,26.3,9.0,17.1,98.0,1.07,2.0,1,0
5103,1632.0,339.0,52.5,6.0,3.8,93.7,1.68,2.0,0,1
6221,1641.0,753.0,11.8,11.0,3.9,87.2,1.13,2.0,0,0
815,1383.0,369.0,35.1,6.0,4.6,94.0,1.48,2.0,0,1
4963,1039.0,200.0,62.3,24.0,7.8,91.0,1.79,2.0,0,1
618,1804.0,1801.5,22.7,12.0,8.1,94.9,1.47,2.0,0,1
4398,1736.0,375.0,16.2,25.0,0.7,88.9,1.44,2.0,1,1
4412,2807.0,381.0,41.4,7.0,10.3,95.6,1.83,2.0,1,1
4855,3566.625,776.0,30.9,15.0,2.5,95.3,1.48,2.0,0,1
7023,1276.0,200.0,43.6,18.0,23.55,95.9,1.27,2.0,0,0
1042,1719.0,636.0,3.8,9.0,5.2,98.0,2.07,2.0,0,1
2372,2022.0,279.0,32.7,1.0,0.8,99.0,1.17,2.0,0,1
2751,2632.0,200.0,27.9,0.0,8.6,88.6,1.73,2.0,0,1
3298,1455.0,619.0,42.5,46.0,1.3,94.1,1.35,2.0,1,1
1074,1042.0,823.0,4.0,10.0,14.3,88.9,1.56,2.0,0,1
1396,2575.0,200.0,22.5,20.0,0.6,94.4,1.47,2.0,0,1
8790,3566.625,1720.0,24.7,18.0,0.8,91.3,1.34,2.0,1,0
5804,943.0,200.0,27.9,50.0,15.7,90.4,1.04,2.0,0,1
3803,2337.0,533.0,65.6,25.0,0.5,88.0,1.7,2.0,1,1
179,2317.0,672.0,7.4,39.0,8.2,92.9,1.77,2.0,0,1
8316,2858.0,1039.0,45.4,22.0,10.1,93.4,1.29,2.0,1,0
2647,3019.0,661.0,16.9,41.0,23.55,94.7,1.36,2.0,0,1
5572,2016.0,663.0,24.7,4.0,15.7,91.4,1.29,2.0,0,1
7346,2047.0,288.0,26.8,31.0,18.6,92.7,1.61,2.0,1,0
2456,1873.0,746.0,54.6,4.0,5.0,89.1,0.5,2.0,0,1
8361,1464.0,200.0,73.5,38.0,23.55,91.9,0.65,2.0,1,0
1157,1751.0,200.0,41.5,2.0,14.0,94.5,1.68,2.0,0,1
6482,2390.0,717.0,33.0,66.0,22.2,92.7,1.29,2.0,0,0
1532,3491.0,1428.0,26.1,19.0,7.9,94.4,1.48,2.0,0,1
3065,1556.0,573.0,27.7,14.0,2.1,98.0,1.57,2.0,1,1
3106,1262.0,200.0,26.5,4.0,4.7,92.3,2.09,2.0,1,1
8619,3064.0,859.0,41.9,5.0,0.5,94.1,1.7,2.0,1,0
3274,1215.0,702.0,28.5,3.0,2.1,90.8,1.6,2.0,1,1
8183,1475.0,520.0,7.8,31.0,14.7,95.3,1.29,2.0,1,0
2439,1652.0,502.0,26.8,10.0,3.6,97.5,0.88,2.0,0,1
1535,1859.0,280.0,17.6,10.0,6.7,94.8,1.79,2.0,0,1
1345,1301.0,200.0,8.9,34.0,0.6,87.4,1.76,2.0,0,1
2473,2114.0,1327.0,10.6,27.0,2.6,92.8,1.24,2.0,0,1
8706,1892.0,525.0,32.4,44.0,3.9,87.3,1.47,2.0,1,0
6085,700.0,207.0,40.3,19.0,4.4,94.6,0.79,2.0,0,0
5418,1273.0,363.0,23.0,21.0,11.0,87.6,1.49,2.0,0,1
8797,2386.0,993.0,19.2,2.0,3.8,94.1,1.24,1.0,1,0
5673,1359.0,546.0,57.1,29.0,6.0,92.0,0.88,2.0,0,1
6422,1357.0,343.0,13.2,52.0,2.6,98.3,1.32,2.0,0,0
2272,1174.0,549.0,30.1,28.0,22.4,94.0,0.54,2.0,0,1
1480,3233.0,1518.0,4.2,32.0,1.5,92.4,1.77,2.0,0,1
3717,969.0,505.0,35.0,28.0,14.6,93.2,2.34,2.0,1,1
8799,1336.0,557.0,15.9,1.0,1.9,96.2,1.42,2.0,1,0
8939,1840.0,389.0,23.7,3.0,2.5,97.8,1.97,2.0,1,0
2648,3057.0,675.0,20.0,4.0,12.6,91.4,1.79,2.0,0,1
1952,1834.0,977.0,26.5,15.0,4.1,95.5,1.66,0.0,0,1
6639,1471.0,1420.0,36.4,17.0,0.9,94.3,1.52,2.0,0,0
2864,1084.0,200.0,23.9,0.0,7.5,91.5,0.5,1.0,1,1
1163,1621.0,200.0,16.5,8.0,3.6,91.4,1.45,2.0,0,1
8610,1578.0,502.0,58.6,11.0,0.6,89.5,1.16,1.0,1,0
4972,2670.0,670.0,58.7,36.0,15.6,93.7,1.14,2.0,0,1
3815,1667.0,240.0,15.8,13.0,23.55,99.0,1.87,2.0,1,1
6519,2206.0,317.0,37.8,3.0,16.1,87.9,1.08,2.0,0,0
4215,1349.0,548.0,5.9,16.0,5.5,91.8,1.23,2.0,1,1
3290,1730.0,763.0,42.2,21.0,8.7,90.5,1.18,2.0,1,1
1598,1918.0,1028.0,14.3,2.0,8.1,95.7,0.67,2.0,0,1
8081,2512.0,437.0,13.0,32.0,4.9,92.5,1.94,2.0,1,0
300,1207.0,200.0,37.8,10.0,4.0,92.8,1.73,2.0,0,1
8804,1836.0,1575.0,25.8,2.0,3.5,90.4,1.49,2.0,1,0
2478,1543.0,294.0,19.1,16.0,2.0,88.4,1.51,2.0,0,1
2075,1547.0,200.0,5.5,27.0,8.4,99.0,1.46,2.0,0,1
4461,1583.0,200.0,9.5,29.0,5.8,91.0,1.3,2.0,1,1
7782,2467.0,1311.0,42.8,48.0,0.5,88.2,1.47,2.0,1,0
1359,1474.0,856.0,16.6,14.0,9.0,91.5,1.72,2.0,0,1
3128,3566.625,636.0,66.8,14.0,23.55,98.8,0.86,2.0,1,1
4684,2614.0,1303.0,44.7,18.0,2.0,98.4,1.32,2.0,0,1
4582,1877.0,521.0,14.8,74.0,23.55,90.0,1.32,2.0,0,1
486,2306.0,1310.0,32.4,3.0,23.55,93.1,1.36,2.0,0,1
5498,3073.0,857.0,9.4,3.0,1.6,91.6,1.55,2.0,0,1
7612,2076.0,1202.0,33.6,18.0,14.2,99.0,1.82,2.0,1,0
1152,1942.0,370.0,12.1,10.0,0.5,96.2,1.11,2.0,0,1
3991,2465.0,1019.0,11.7,2.0,3.2,90.1,1.61,2.0,1,1
6608,1318.0,206.0,15.5,60.0,0.5,91.5,1.22,2.0,0,0
6318,2126.0,649.0,46.3,1.0,3.2,99.0,1.56,2.0,0,0
8731,2550.0,528.0,44.3,14.0,9.8,93.3,1.52,2.0,1,0
6702,1384.0,1192.0,39.3,31.0,9.8,93.5,1.44,2.0,0,0
5747,863.0,200.0,55.1,10.0,0.8,91.7,1.48,2.0,0,1
665,1723.0,589.0,13.4,14.0,13.6,87.7,1.21,2.0,0,1
2684,1608.0,384.0,31.1,1.0,4.7,91.9,2.14,2.0,0,1
6624,1506.0,556.0,3.7,47.0,10.9,93.5,1.15,2.0,0,0
642,1948.0,200.0,28.7,9.0,2.0,96.0,1.44,2.0,0,1
176,2784.0,1040.0,48.4,4.0,9.1,91.8,1.05,2.0,0,1
8917,1537.0,200.0,29.4,4.0,4.1,94.2,1.49,2.0,1,0
2233,1936.0,200.0,46.0,7.0,0.5,90.9,1.2,2.0,0,1
786,1933.0,1235.0,7.7,18.0,2.4,89.6,1.57,2.0,0,1
5128,2422.0,852.0,19.6,2.0,17.0,92.7,1.87,2.0,0,1
3661,781.0,382.0,32.7,0.0,4.7,92.9,1.33,2.0,1,1
2984,1226.0,391.0,58.7,30.0,3.4,95.6,1.12,2.0,1,1
91,1084.0,495.0,17.6,15.0,8.7,99.0,1.19,2.0,0,1
5425,1847.0,873.0,61.1,30.0,23.55,85.6,1.23,2.0,0,1
6689,2250.0,1115.0,52.5,74.5,0.8,91.6,1.94,2.0,0,0
7172,1812.0,426.0,24.6,7.0,15.2,90.0,1.18,2.0,0,0
1971,1539.0,888.0,27.1,44.0,7.3,88.0,1.09,2.0,0,1
530,2499.0,847.0,17.1,2.0,2.3,95.9,1.1,2.0,0,1
996,2862.0,979.0,16.4,20.0,16.6,88.4,1.28,2.0,0,1
3424,2179.0,213.0,28.6,17.0,5.8,91.8,1.36,2.0,1,1
3307,2376.0,546.0,30.6,19.0,6.3,91.2,1.79,2.0,1,1
1427,1642.0,474.0,48.2,25.0,0.6,92.9,1.59,2.0,0,1
4519,2080.0,706.0,10.7,34.0,8.0,91.1,1.76,2.0,0,1
2303,1167.0,322.0,50.8,10.0,6.2,94.6,1.25,2.0,0,1
2840,2414.0,1162.0,23.3,19.0,0.6,90.8,1.51,2.0,1,1
5239,1531.0,721.0,27.5,7.0,6.3,93.1,1.92,2.0,0,1
6680,2191.0,1134.0,29.6,74.5,1.6,89.6,0.98,2.0,0,0
7583,3449.0,1012.0,30.5,5.0,5.3,95.9,1.11,2.0,1,0
3548,3566.625,1137.0,38.8,3.0,15.6,93.6,1.56,2.0,1,1
2868,2397.0,614.0,22.0,6.0,4.9,90.6,1.43,2.0,1,1
6860,1094.0,836.0,51.4,1.0,19.9,93.3,1.27,2.0,0,0
3745,2317.0,881.0,64.6,20.0,7.8,92.4,1.37,2.0,1,1
2748,1629.0,394.0,15.2,51.0,3.1,94.1,1.6,2.0,0,1
694,2241.0,200.0,25.3,3.0,4.7,94.8,1.51,2.0,0,1
5679,2294.0,679.0,58.5,31.0,9.6,94.0,1.89,2.0,0,1
1738,3387.0,1477.0,21.0,22.0,0.6,94.1,0.93,2.0,0,1
167,3144.0,671.0,52.7,11.0,21.0,96.8,1.02,2.0,0,1
3912,1265.0,538.0,48.6,1.0,13.7,99.0,0.67,2.0,1,1
7193,2250.0,285.0,27.3,26.0,0.5,90.8,1.24,2.0,0,0
8209,1374.0,213.0,26.8,15.0,13.6,89.8,1.9,2.0,1,0
5587,1719.0,436.0,37.6,7.0,4.7,91.6,1.2,2.0,0,1
4019,1875.0,200.0,33.6,3.0,0.7,94.1,1.0,2.0,1,1
2333,1158.0,200.0,14.3,9.0,23.55,96.1,1.5,2.0,0,1
2605,1452.0,221.0,54.1,39.0,4.0,97.1,1.2,2.0,0,1
7671,2092.0,295.0,23.1,18.0,4.9,86.8,1.19,2.0,1,0
5664,2358.0,1084.0,8.9,74.5,17.5,93.5,1.18,2.0,0,1
6428,2419.0,344.0,38.7,67.0,7.0,94.8,1.3,2.0,0,0
2921,1796.0,308.0,55.8,73.0,3.3,88.3,1.97,2.0,1,1
6746,2513.0,1159.0,14.6,5.0,4.3,90.0,1.44,2.0,0,0
2755,2160.0,494.0,21.8,21.0,0.9,92.0,1.62,2.0,0,1
6399,1530.0,563.0,27.6,59.0,1.9,93.1,1.6,2.0,0,0
3646,2290.0,869.0,50.7,7.0,5.6,96.7,0.95,2.0,1,1
100,2518.0,997.0,22.3,11.0,0.5,90.7,1.37,2.0,0,1
4885,2091.0,437.0,34.4,45.0,2.4,93.5,1.21,1.0,0,1
